source_id,phot_g_mean_mag,x  (pc),y (pc),z (pc),dx/dt (pc/1000 years),dy/dt (pc/1000 years),dz/dy (pc/1000 years)
2261661058984570,11.08772786,83.66823008,93.04852581,5.766737427,-0.097761911,-0.035744763,0.022756477
2286193912170880,11.1087741,321.7007586,354.3053911,24.28364662,-0.065886894,-0.054201649,-0.018219019
2293821774089080,11.57076666,375.5145496,419.846162,28.35438238,-0.144283779,-0.140313992,-0.032945559
2299628569869950,11.71771607,190.6763834,215.0133037,15.01761911,0.04048059,0.043717289,-0.004800148
2299662929607290,11.61144812,211.6896444,238.8175794,16.75046312,-0.050613827,-0.073110208,-0.023846637
2305847682517120,10.69800752,674.052084,747.7570223,51.19869788,0.094276319,0.142902393,0.002634018
2313990940505850,10.70147367,1287.063826,1438.897059,102.528601,0.112153039,0.120636964,-0.020823463
2333885229022970,11.65417345,254.7449108,280.9021575,19.80440838,-0.091080525,-0.126045911,-0.048704417
2336359130184440,11.50262201,973.4526292,1066.192711,75.75410109,0.114188205,0.089083953,-0.059682765
2336943245732220,10.82846082,226.4681347,247.1097809,17.60636004,-0.165026393,-0.114004844,0.005808484
2338936110560890,12.0421295,1791.551659,1959.818216,141.3831456,-0.189699486,0.034513709,-0.175042856
2339760744280060,7.573913561,521.8806211,565.2602834,38.24125367,-0.037711569,-0.104465346,-0.032673447
2343918272620410,10.57510567,113.278101,123.0600479,8.827742506,-0.061667269,-0.076097667,-0.008653254
2348762995730170,10.44554098,69.42684241,75.69444425,5.431541423,0.043047347,0.058619618,-0.01647562
2349415830758910,7.322921715,87.39509306,95.33225924,6.915297242,-0.045084469,0.00891985,-0.039107846
2357662167971840,10.74733966,182.2151891,201.0061039,14.33385701,0.001933723,0.063227761,0.01448489
2372333775888760,11.70038916,281.7317475,312.1085664,24.32124872,-0.083819169,-0.006715769,-0.100128967
2377315937953280,10.26889899,528.7278408,582.3286182,44.55243792,-0.110603824,-0.083231966,-0.03209776
2395629678928120,11.32930587,130.9479473,148.5822483,10.84646999,-0.019671471,0.070829358,-0.013604664
2398790774436990,10.62644846,688.9483934,777.0464057,57.53172178,0.063276419,0.055748702,-0.035573874
2400199524130680,11.3799642,367.9438863,416.6928619,31.42343489,-0.042696663,-0.045632775,-0.024524494
2404322692644220,10.80493165,117.5793384,134.4941501,10.27239398,-0.09667651,-0.13865494,-0.058225049
2433081793746560,11.10420929,93.12139121,106.4965011,8.510719275,-0.051205904,-0.028260033,-0.023128737
2445176421561210,11.3786868,297.1806554,342.424652,29.3243733,1.82086E-05,-0.015795735,-0.019600391
2452014009584640,10.00264564,403.5865863,459.2625227,38.53554932,-0.050746579,-0.002327241,0.003010908
2458542359873280,10.95469942,390.5725695,445.9617663,38.08872835,0.066850573,0.066895636,-0.019966326
