Gaia_Source_ID,       Name,        RA, 				Dec  
5401795658263638912,  TW_Hydra,    165.4659259731, 	-34.7047893960
5398663561953650304,  CD-33_7795,  172.9798242293,  -34.6076508408
5460728072762363520,  BX_Ant,      154.6193010514, 	-31.8341952825
5369414456709280512,  HD_102458,   176.8520412459, 	-49.8842124461
5356713413789909632,  HD_298936,   153.3111207721,  -52.5149606212
6071087593186508288,  CD-58_4411,  182.4241095288,  58.912561714
6150861594185298176,  V1249_Cen,   183.8775844491, 	-39.8119526633
