#Origin: 29.1822 -175.677 -16.2366
#Radius: 42.878
id, x, y, z, u, v, w, ra, dec, parallax, teff, l, b
5218235700998876544,57.0379,-156.738,-41.4962,-0.0266439,-0.00692318,0.00409451,147.75,-72.1444,5.81809,7364.5,289.997,-13.9709
5218239544989585920,60.7909,-166.107,-43.535,-0.0303702,-0.0206814,-0.0189112,148.305,-72.1003,5.48967,4901.21,290.101,-13.8271
5218318748486192640,56.9797,-160.585,-45.1418,-0.0361243,-0.0177781,-0.000803079,144.749,-72.4922,5.67303,4214.09,289.536,-14.8382
5218334721468593024,52.3145,-149.277,-40.773,-0.00929259,-0.0052242,-0.00244858,145.093,-72.0644,6.12187,5427,289.313,-14.4543
5218395881801936896,56.9284,-166.733,-46.0658,-0.0177385,-0.023089,-0.00196795,143.604,-71.9007,5.4913,5222.55,288.852,-14.6528
5218446906014846720,52.9586,-149.962,-39.5225,-0.0442101,-0.012563,-0.00678817,146.491,-71.7848,6.10218,4963.25,289.45,-13.9558
5218446910311197056,53.0216,-150.129,-39.5682,-0.0439657,-0.0136602,-0.00550404,146.493,-71.786,6.09533,4676,289.452,-13.9563
5218473642187482624,53.0925,-152.074,-39.1708,-0.0108252,0.00904311,-0.0103049,146.622,-71.4372,6.03245,4442.44,289.245,-13.668
5218818545239576576,52.1535,-160.472,-46.6494,-0.0427782,-0.0166535,-0.00666474,139.92,-71.8723,5.7122,4300.25,288.004,-15.4544
5218953475932636160,49.7244,-157.996,-48.4648,-0.0142241,0.00575745,0.025923,136.748,-72.0472,5.7944,5979.73,287.47,-16.3094
5218979967291339904,48.8895,-150.144,-44.209,0.00821329,-0.0576299,0.0364144,139.542,-72.0207,6.09847,5556.5,288.036,-15.6409
5219095931408566016,47.5642,-154.2,-45.0073,-0.0759847,-0.0630111,0.0274522,137.864,-71.3387,5.96916,5443.6,287.143,-15.5843
5219170285882715136,53.9306,-162.663,-44.5636,0.066405,-0.00817137,0.00479592,142.657,-71.5008,5.64749,5757.57,288.343,-14.5765
5219248935323157248,49.6079,-154.599,-41.7871,0.0718701,-0.0345436,-0.0116203,141.804,-71.0197,5.96465,5739.25,287.79,-14.4329
5219385648422586240,49.2012,-153.952,-38.8605,-0.0186023,-0.012911,-0.0107258,143.607,-70.3252,6.01579,5196.25,287.723,-13.5195
5219420837094458240,54.4093,-172.504,-47.7298,-0.0250475,-0.0138759,-0.0161217,140.442,-71.0622,5.34551,5790.97,287.506,-14.7819
