absolute_g_mag,bp-rp,mass
10.212,1.216,-1.997
10.023,1.309,-1.937
9.831,1.47,-1.872
9.565,1.56,-1.791
9.49,1.56,-1.769
9.42,1.559,-1.748
9.275,1.56,-1.707
9.107,1.667,-1.659
9.008,1.765,-1.632
8.814,1.96,-1.578
8.648,2,-1.529
8.54,2.008,-1.495
8.358,2.003,-1.438
8.188,1.963,-1.383
8.05,1.929,-1.338
7.842,1.882,-1.271
7.726,1.856,-1.233
7.475,1.802,-1.151
7.458,1.799,-1.146
7.234,1.755,-1.072
7.206,1.751,-1.063
6.976,1.706,-0.987
6.937,1.699,-0.975
6.773,1.669,-0.921
6.679,1.653,-0.89
6.591,1.639,-0.861
6.583,1.639,-0.858
6.51,1.626,-0.834
6.406,1.611,-0.8
6.403,1.61,-0.799
6.385,1.608,-0.793
6.277,1.593,-0.758
6.227,1.586,-0.741
6.223,1.584,-0.74
6.106,1.573,-0.701
6.042,1.568,-0.679
5.886,1.39,-0.619
5.587,1.304,-0.528
5.508,1.297,-0.499
5.459,1.294,-0.481
5.375,1.285,-0.45
5.319,1.277,-0.43
5.182,1.257,-0.38
5.177,1.257,-0.378
5.09,1.243,-0.347
5.036,1.234,-0.327
4.953,1.219,-0.297
4.878,1.207,-0.27
4.737,1.179,-0.218
4.571,1.146,-0.157
4.424,1.113,-0.103
4.373,1.101,-0.083
4.257,1.074,-0.039
4.082,1.032,0.028
3.96,0.998,0.076
3.903,0.983,0.098
3.822,0.961,0.131
3.722,0.932,0.171
3.681,0.92,0.187
3.521,0.875,0.253
3.41,0.842,0.298
3.3,0.811,0.343
3.201,0.783,0.385
3.05,0.741,0.449
2.993,0.727,0.473
2.839,0.689,0.538
2.756,0.668,0.574
2.659,0.644,0.615
2.513,0.611,0.677
2.416,0.587,0.719
2.372,0.575,0.738
2.217,0.537,0.806
2.08,0.5,0.866
1.958,0.464,0.921
1.858,0.431,0.968
1.778,0.4,1.007
1.727,0.379,1.033
1.664,0.345,1.067
1.62,0.315,1.094
1.578,0.275,1.126
1.57,0.266,1.132
