absolute_g_mag,bp-rp,mass
1.553,0.244,1.148
1.536,0.204,1.174
1.535,0.183,1.185
1.576,0.157,1.183
1.584,0.152,1.183
1.66,0.142,1.159
1.724,0.144,1.134
1.78,0.148,1.109
1.799,0.151,1.1
1.825,0.154,1.089
1.872,0.159,1.068
1.872,0.156,1.07
1.873,0.155,1.07
1.795,0.126,1.118
1.76,0.111,1.139
1.72,0.095,1.167
1.652,0.06,1.217
1.632,0.049,1.234
1.593,0.025,1.27
1.561,0.002,1.307
1.544,-0.016,1.336
1.542,-0.02,1.342
1.56,-0.043,1.37
1.569,-0.048,1.374
1.572,-0.055,1.383
1.551,-0.059,1.4
1.521,-0.064,1.42
1.491,-0.073,1.446
1.458,-0.079,1.47
1.451,-0.08,1.475
1.348,-0.095,1.548
1.155,-0.121,1.682
0.973,-0.138,1.807
0.806,-0.153,1.922
0.652,-0.166,2.029
0.508,-0.176,2.128
0.372,-0.187,2.222
0.244,-0.195,2.31
0.202,-0.198,2.339
0.123,-0.204,2.393
0.01,-0.211,2.472
-0.099,-0.218,2.547
-0.204,-0.226,2.618
-0.303,-0.232,2.686
-0.401,-0.238,2.751
-0.495,-0.243,2.813
-0.585,-0.249,2.873
-0.637,-0.252,2.908
-0.672,-0.254,2.931
-0.756,-0.258,2.986
-0.839,-0.263,3.04
-0.918,-0.267,3.092
-0.995,-0.271,3.142
-1.217,-0.283,3.283
-1.233,-0.283,3.292
-1.556,-0.297,3.492
-1.675,-0.302,3.564
-1.865,-0.31,3.677
-2.068,-0.317,3.794
-2.154,-0.319,3.843
-2.24,-0.322,3.892
-2.424,-0.328,3.993
-2.427,-0.328,3.995
-2.512,-0.331,4.041
-2.674,-0.336,4.127
-2.687,-0.336,4.134
-2.703,-0.337,4.141
-2.872,-0.344,4.211
-3.014,-0.348,4.272
-3.13,-0.35,4.328
-3.244,-0.352,4.382
-3.246,-0.352,4.383
-3.416,-0.354,4.461
-3.565,-0.355,4.527
-3.712,-0.355,4.589
-3.737,-0.356,4.599
-3.828,-0.356,4.637
-3.966,-0.356,4.691
-4.098,-0.355,4.741
-4.249,-0.353,4.794
-4.385,-0.353,4.84
-4.547,-0.349,4.89
-4.692,-0.345,4.932
-4.817,-0.341,4.962
-4.863,-0.34,4.972
-4.893,-0.338,4.978
-5.022,-0.333,5.004
-5.147,-0.326,5.026
-5.248,-0.324,5.046
-5.346,-0.321,5.066
-5.444,-0.317,5.085
-5.54,-0.314,5.105
-5.589,-0.315,5.137
-5.569,-0.319,5.146
-5.541,-0.323,5.155
-5.522,-0.325,5.167
-5.483,-0.331,5.18
-5.475,-0.332,5.181
-5.513,-0.327,5.177
-5.556,-0.325,5.177
-5.61,-0.322,5.177
-5.66,-0.318,5.178
-5.718,-0.314,5.179
-5.785,-0.31,5.18
-5.842,-0.305,5.181
-5.905,-0.301,5.182
-5.971,-0.298,5.183
-6.023,-0.294,5.184
-6.079,-0.29,5.185
-6.14,-0.286,5.185
-6.211,-0.278,5.186
-6.295,-0.268,5.186
-6.368,-0.262,5.186
-6.437,-0.258,5.187
-6.512,-0.254,5.187
-6.564,-0.251,5.187
-6.619,-0.247,5.186
-6.678,-0.243,5.186
-6.741,-0.238,5.186
-6.774,-0.235,5.185
-6.81,-0.232,5.185
-6.887,-0.226,5.185
-6.973,-0.215,5.184
-7.072,-0.198,5.183
-7.19,-0.19,5.181
-7.264,-0.19,5.18
-7.351,-0.186,5.179
-7.453,-0.176,5.178
-7.576,-0.155,5.177
-7.721,-0.137,5.176
-7.887,-0.119,5.174
-8.079,-0.092,5.173
-8.3,-0.007,5.171
-8.486,0.101,5.166
-8.623,0.324,5.157
-8.705,0.672,5.141
-8.715,0.843,5.131
-8.715,0.934,5.127
-8.714,1.035,5.123
-8.703,1.148,5.118
-8.694,1.212,5.115
-8.686,1.284,5.113
-8.673,1.373,5.11
-8.66,1.474,5.108
-8.646,1.595,5.106
-8.63,1.726,5.104
-8.609,1.862,5.103
-8.567,2.131,5.104
-8.515,2.464,5.121
-8.49,2.603,5.138
-8.453,2.697,5.146
-8.468,2.717,5.16
-8.479,2.733,5.172
-8.42,2.722,5.178
-8.425,2.729,5.172
-8.536,2.735,5.228
-8.538,2.734,5.23
-8.555,2.733,5.241
-8.578,2.73,5.257
-8.578,2.713,5.266
-8.577,2.676,5.28
-8.582,2.663,5.288
-8.595,2.642,5.302
-8.615,2.613,5.322
-8.635,2.593,5.339
-8.673,2.482,5.392
-8.685,2.447,5.408
-8.718,2.381,5.444
-8.725,2.37,5.45
