absolute_g_mag, bp-rp, mass
      12.3690,      3.69000,     0.114000
      12.2410,      3.61800,     0.120000
      12.1570,      3.58400,     0.124000
      11.8570,      3.47300,     0.140000
      11.6080,      3.35800,     0.156000
      11.5450,      3.32600,     0.160000
      11.0430,      3.07700,     0.200000
      10.5720,      2.86300,     0.250000
      10.1960,      2.71200,     0.300000
      9.88100,      2.59900,     0.349000
      9.74800,      2.55100,     0.371000
      9.67000,      2.52500,     0.383000
      9.57300,      2.49200,     0.400000
      9.27300,      2.39200,     0.450000
      8.96100,      2.28500,     0.500000
      8.74600,      2.20500,     0.531000
      8.61000,      2.15800,     0.550000
      8.57800,      2.14600,     0.554000
      8.51600,      2.12300,     0.562000
      8.21200,      2.01500,     0.594000
      8.15400,      1.99400,     0.600000
      8.05300,      1.97800,     0.611000
      7.78700,      1.87500,     0.634000
      7.51800,      1.66600,     0.650000
      7.29600,      1.56100,     0.666000
      7.05500,      1.45100,     0.682000
      6.80600,      1.34600,     0.700000
      6.80300,      1.34400,     0.700000
      6.63400,      1.26600,     0.711000
      6.58500,      1.24400,     0.716000
      6.38800,      1.15400,     0.750000
      6.24400,      1.10500,     0.776000
      6.13400,      1.07400,     0.800000
      5.82800,     0.998000,     0.850000
      5.65700,     0.958000,     0.882000
      5.55100,     0.933000,     0.900000
      5.30300,     0.879000,     0.943000
      5.23800,     0.865000,     0.954000
      5.02900,     0.820000,     0.993000
      4.99000,     0.813000,      1.00000
      4.74100,     0.763000,      1.05000
      4.49000,     0.717000,      1.10000
      4.24400,     0.670000,      1.14700
      4.23200,     0.668000,      1.15000
      4.00700,     0.628000,      1.20000
      3.79100,     0.589000,      1.25000
      3.58900,     0.552000,      1.30000
      3.39800,     0.514000,      1.35000
      3.21800,     0.477000,      1.40100
      3.05200,     0.435000,      1.45100
      2.89400,     0.388000,      1.50000
      2.74500,     0.336000,      1.55000
      2.60400,     0.286000,      1.60000
      2.47200,     0.237000,      1.65000
      2.34900,     0.191000,      1.70000
      2.23400,     0.149000,      1.74900
      2.12700,     0.111000,      1.79900
      2.03000,    0.0810001,      1.84900
      1.94000,    0.0549999,      1.90000
      1.85500,    0.0310000,      1.95000
      1.77600,    0.0110000,      2.00100
      1.70100,  -0.00500000,      2.05000
      1.62800,   -0.0200001,      2.10000
      1.55900,   -0.0340000,      2.14900
      1.49000,   -0.0460000,      2.19900
      1.42400,   -0.0569999,      2.24900
      1.35900,   -0.0670000,      2.29900
      1.33600,   -0.0710000,      2.31800
      1.23600,   -0.0849999,      2.40000
      1.01800,    -0.112000,      2.58700
      1.00200,    -0.115000,      2.60100
     0.785000,    -0.138000,      2.80100
     0.596000,    -0.156000,      2.98700
     0.582000,    -0.157000,      3.00100
     0.395000,    -0.175000,      3.19600
     0.391000,    -0.176000,      3.20000
     0.259000,    -0.187000,      3.34400
     0.210000,    -0.192000,      3.39900
     0.160000,    -0.196000,      3.45600
    0.0370000,    -0.206000,      3.59900
  -0.00700000,    -0.210000,      3.65100
    -0.131000,    -0.220000,      3.79900
    -0.296000,    -0.232000,      4.00200
    -0.334000,    -0.235000,      4.04700
    -0.450000,    -0.243000,      4.18900
    -0.459000,    -0.244000,      4.19900
    -0.516000,    -0.247000,      4.27000
    -0.620000,    -0.254000,      4.39800
    -0.690000,    -0.258000,      4.48600
    -0.781000,    -0.264000,      4.59900
    -0.840000,    -0.267000,      4.67200
    -0.947000,    -0.272000,      4.79900
     -1.02900,    -0.275000,      4.89700
     -1.11900,    -0.279000,      5.00000
     -1.14200,    -0.279000,      5.02700
     -1.25900,    -0.284000,      5.16100
     -1.29600,    -0.284000,      5.20100
     -1.37200,    -0.286000,      5.28400
     -1.47300,    -0.288000,      5.38600
     -1.48900,    -0.288000,      5.40200
     -1.56900,    -0.288000,      5.48100
     -1.69900,    -0.288000,      5.60200
     -1.73600,    -0.289000,      5.63700
     -1.86000,    -0.287000,      5.74000
     -1.94000,    -0.286000,      5.80200
     -2.03600,    -0.283000,      5.87700
     -2.15900,    -0.279000,      5.96400
