absolute_g_mag,bp-rp,mass
8.716,0.455,-1.384
8.423,0.484,-1.293
8.389,0.494,-1.283
8.329,0.502,-1.263
8.227,0.512,-1.229
8.039,0.524,-1.165
8.04,0.53,-1.167
8.031,0.542,-1.166
7.983,0.552,-1.152
7.903,0.559,-1.126
7.817,0.562,-1.096
7.795,0.572,-1.09
7.777,0.608,-1.088
7.739,0.642,-1.079
7.627,0.65,-1.042
7.55,0.672,-1.018
7.513,0.722,-1.01
7.484,0.779,-1.006
7.438,0.821,-0.995
7.329,0.839,-0.961
7.225,0.863,-0.928
7.143,0.896,-0.905
7.086,0.946,-0.892
6.999,0.975,-0.866
6.87,1.006,-0.826
6.762,1.048,-0.795
6.685,1.07,-0.772
6.517,1.116,-0.721
6.477,1.127,-0.709
6.304,1.176,-0.657
6.204,1.204,-0.627
5.997,1.263,-0.566
5.925,1.284,-0.545
5.76,1.326,-0.497
5.688,1.342,-0.475
5.649,1.352,-0.464
5.555,1.371,-0.436
5.463,1.39,-0.408
5.446,1.393,-0.403
5.41,1.4,-0.392
5.311,1.406,-0.36
5.239,1.386,-0.335
5.238,1.386,-0.334
5.152,1.359,-0.303
5.06,1.342,-0.272
5.054,1.341,-0.27
5.053,1.341,-0.27
4.956,1.33,-0.238
4.864,1.319,-0.208
4.617,1.306,-0.133
4.518,1.288,-0.103
4.517,1.287,-0.102
4.399,1.272,-0.06
4.39,1.27,-0.057
4.382,1.269,-0.054
4.289,1.256,-0.021
4.269,1.254,-0.014
4.162,1.237,0.024
4.151,1.236,0.028
4.08,1.224,0.054
4.047,1.219,0.066
4.012,1.214,0.078
3.945,1.203,0.102
3.942,1.203,0.104
3.848,1.187,0.139
3.752,1.171,0.174
3.691,1.161,0.197
3.665,1.158,0.206
3.642,1.153,0.215
3.584,1.143,0.237
3.502,1.128,0.268
3.444,1.118,0.29
3.421,1.115,0.299
3.347,1.102,0.326
3.321,1.097,0.336
3.273,1.088,0.355
3.196,1.074,0.385
3.129,1.061,0.411
3.119,1.059,0.415
3.058,1.048,0.438
3.049,1.047,0.442
2.982,1.035,0.468
2.916,1.02,0.494
2.872,1.01,0.512
2.854,1.006,0.519
2.782,0.992,0.547
2.712,0.978,0.575
2.683,0.972,0.586
2.648,0.965,0.601
2.637,0.962,0.605
2.57,0.948,0.632
2.504,0.935,0.658
2.433,0.919,0.687
2.362,0.905,0.715
2.291,0.89,0.744
2.227,0.874,0.77
2.216,0.871,0.775
2.141,0.857,0.805
2.053,0.839,0.841
1.969,0.822,0.875
1.898,0.807,0.904
1.774,0.783,0.955
1.63,0.755,1.015
1.451,0.72,1.089
1.294,0.691,1.155
1.154,0.665,1.213
1.126,0.66,1.225
0.975,0.63,1.288
0.823,0.597,1.353
0.675,0.562,1.416
0.534,0.525,1.478
0.41,0.487,1.533
0.354,0.469,1.559
0.258,0.428,1.605
0.179,0.388,1.645
0.117,0.35,1.68
0.063,0.314,1.711
0.015,0.28,1.742
-0.029,0.248,1.771
-0.069,0.216,1.8
-0.106,0.184,1.828
-0.138,0.151,1.855
-0.166,0.117,1.882
-0.17,0.112,1.885
-0.173,0.108,1.889
-0.196,0.079,1.914
-0.216,0.053,1.938
-0.232,0.029,1.961
-0.245,0.008,1.985
-0.256,-0.018,2.015
-0.262,-0.041,2.044
-0.264,-0.062,2.072
-0.26,-0.079,2.099
-0.254,-0.094,2.125
-0.244,-0.108,2.15
-0.229,-0.118,2.174
-0.211,-0.129,2.196
-0.186,-0.139,2.216
-0.174,-0.142,2.223
-0.162,-0.144,2.229
-0.142,-0.148,2.236
-0.068,-0.154,2.231
0.038,-0.156,2.201
0.111,-0.155,2.171
0.174,-0.152,2.142
0.228,-0.15,2.115
0.269,-0.148,2.094
0.307,-0.148,2.081
0.296,-0.15,2.093
0.288,-0.151,2.102
0.24,-0.162,2.158
0.207,-0.171,2.209
0.19,-0.178,2.247
0.185,-0.183,2.273
0.19,-0.187,2.29
0.21,-0.192,2.302
