absolute_g_mag, bp-rp, mass
11.049,3.65,0.12
10.828,3.55,0.14
10.737,3.508,0.14
10.676,3.477,0.15
10.638,3.469,0.15
10.362,3.435,0.17
10.18,3.396,0.18
10.006,3.317,0.20
9.874,3.259,0.21
9.688,3.166,0.23
9.503,3.069,0.25
9.337,2.984,0.27
9.112,2.871,0.30
9.08,2.856,0.30
8.966,2.799,0.32
8.752,2.699,0.35
8.717,2.684,0.36
8.476,2.58,0.40
8.4,2.547,0.42
8.224,2.472,0.45
8.127,2.43,0.47
8.003,2.378,0.50
7.935,2.347,0.52
7.814,2.297,0.55
7.798,2.291,0.55
7.759,2.272,0.56
7.639,2.217,0.59
7.602,2.202,0.60
7.499,2.158,0.62
7.401,2.118,0.65
7.313,2.079,0.67
7.189,2.03,0.70
6.535,1.541,0.75
6.469,1.521,0.77
6.382,1.498,0.80
6.285,1.468,0.83
6.219,1.452,0.85
6.057,1.408,0.90
6.038,1.403,0.90
5.922,1.371,0.93
5.852,1.352,0.95
5.686,1.305,0.99
5.661,1.299,1.00
5.472,1.247,1.05
5.403,1.228,1.07
5.25,1.187,1.10
5.247,1.187,1.10
5.024,1.127,1.15
4.789,1.067,1.20
4.708,1.047,1.22
4.546,1.008,1.25
4.401,0.975,1.28
4.284,0.949,1.30
4.11,0.91,1.33
3.997,0.887,1.35
3.831,0.853,1.38
3.671,0.823,1.40
3.588,0.807,1.41
3.402,0.772,1.44
3.291,0.753,1.45
3.25,0.745,1.46
3.087,0.716,1.48
2.928,0.685,1.50
2.884,0.676,1.50
2.774,0.652,1.51
2.613,0.614,1.54
2.503,0.584,1.55
2.488,0.58,1.55
2.371,0.539,1.57
2.283,0.498,1.59
2.216,0.455,1.60
2.185,0.429,1.61
2.171,0.415,1.61
2.168,0.382,1.63
2.212,0.347,1.65
2.215,0.346,1.65
2.223,0.343,1.65
2.288,0.341,1.67
2.349,0.346,1.68
2.401,0.352,1.69
2.416,0.354,1.70
2.438,0.355,1.71
2.423,0.348,1.74
2.372,0.332,1.75
2.289,0.304,1.77
2.173,0.258,1.80
2.149,0.248,1.81
1.996,0.172,1.84
1.959,0.151,1.85
1.884,0.107,1.87
1.822,0.062,1.90
1.801,0.034,1.93
1.793,0.024,1.95
1.767,0.00600004,1.99
1.756,0.00300002,2.00
1.724,-0.00900006,2.05
1.683,-0.02,2.08
1.659,-0.0239999,2.10
1.593,-0.038,2.15
1.528,-0.05,2.20
1.465,-0.062,2.25
1.405,-0.0730001,2.30
1.291,-0.092,2.40
1.079,-0.123,2.60
0.934,-0.14,2.75
0.883,-0.146,2.80
0.703,-0.168,3.00
0.697,-0.169,3.01
0.538,-0.186,3.20
0.383,-0.203,3.40
0.237,-0.219,3.60
0.129,-0.231,3.76
0.101,-0.234,3.80
-0.028,-0.247,4.00
-0.151,-0.259,4.20
-0.268,-0.27,4.40
-0.38,-0.281,4.60
-0.487,-0.292,4.80
-0.591,-0.301,5.00
-0.604,-0.302,5.03
-0.692,-0.311,5.20
-0.788,-0.32,5.40
-0.882,-0.329,5.60
-0.973,-0.336,5.80
