absolute_g_mag, bp-rp, mass
      12.7670,      3.85100,     0.102000
      12.4290,      3.66400,     0.116000
      12.3450,      3.61500,     0.120000
      12.2450,      3.57600,     0.125000
      11.9620,      3.46800,     0.140000
      11.7300,      3.35700,     0.155000
      11.6490,      3.31500,     0.160000
      11.1420,      3.06100,     0.200000
      10.6670,      2.84700,     0.250000
      10.2890,      2.69700,     0.300000
      9.96300,      2.58200,     0.350000
      9.88100,      2.55400,     0.362000
      9.59100,      2.45400,     0.409000
      9.49500,      2.42300,     0.423000
      9.33100,      2.37000,     0.450000
      9.08400,      2.28500,     0.484000
      8.98300,      2.25200,     0.500000
      8.92000,      2.22800,     0.509000
      8.69600,      2.14800,     0.538000
      8.57900,      2.10800,     0.550000
      8.49500,      2.07600,     0.558000
      8.19200,      1.97600,     0.587000
      8.07100,      1.97700,     0.600000
      7.94400,      1.92200,     0.610000
      7.61100,      1.66100,     0.629000
      7.30700,      1.52000,     0.650000
      7.25000,      1.49300,     0.654000
      7.00400,      1.38600,     0.672000
      6.92500,      1.35300,     0.679000
      6.73400,      1.27500,     0.700000
      6.60800,      1.21500,     0.722000
      6.47600,      1.16600,     0.750000
      6.39400,      1.14300,     0.765000
      6.16500,      1.08200,     0.800000
      6.04000,      1.05100,     0.820000
      5.87400,      1.01000,     0.849000
      5.86700,      1.00900,     0.850000
      5.55100,     0.936000,     0.900000
      5.53000,     0.931000,     0.903000
      5.26300,     0.870000,     0.950000
      5.09200,     0.835000,     0.980000
      4.98300,     0.812000,      1.00000
      4.97800,     0.811000,      1.00100
      4.73500,     0.763000,      1.05000
      4.48400,     0.716000,      1.10000
      4.29200,     0.679000,      1.13600
      4.23100,     0.667000,      1.15000
      4.00500,     0.627000,      1.20000
      3.79000,     0.588000,      1.25000
      3.58700,     0.552000,      1.30000
      3.39600,     0.515000,      1.35000
      3.21700,     0.477000,      1.40100
      3.05000,     0.435000,      1.45100
      2.89200,     0.388000,      1.50000
      2.74300,     0.336000,      1.55000
      2.60100,     0.285000,      1.60000
      2.46900,     0.237000,      1.65000
      2.34600,     0.191000,      1.70000
      2.23100,     0.149000,      1.74900
      2.12400,     0.112000,      1.79900
      2.02600,    0.0809999,      1.84900
      1.93600,    0.0549999,      1.90000
      1.85000,    0.0319999,      1.95000
      1.77000,    0.0130000,      2.00100
      1.69500,  -0.00500000,      2.05000
      1.62000,   -0.0190001,      2.10000
      1.55100,   -0.0330001,      2.14900
      1.48100,   -0.0450000,      2.19900
      1.41400,   -0.0560000,      2.24900
      1.34900,   -0.0660001,      2.29900
      1.22300,   -0.0840000,      2.40000
      1.16800,   -0.0910001,      2.44500
     0.987000,    -0.112000,      2.60100
     0.766000,    -0.136000,      2.80100
     0.744000,    -0.138000,      2.82100
     0.559000,    -0.156000,      3.00100
     0.542000,    -0.158000,      3.01700
     0.363000,    -0.174000,      3.20000
     0.251000,    -0.184000,      3.31800
     0.176000,    -0.190000,      3.39900
     0.138000,    -0.193000,      3.44100
  -0.00500000,    -0.204000,      3.59900
    -0.122000,    -0.213000,      3.73100
    -0.181000,    -0.218000,      3.79900
    -0.190000,    -0.218000,      3.80900
    -0.305000,    -0.227000,      3.94300
    -0.356000,    -0.230000,      4.00200
    -0.479000,    -0.237000,      4.14100
    -0.529000,    -0.240000,      4.19900
    -0.538000,    -0.240000,      4.21000
    -0.704000,    -0.249000,      4.39800
    -0.705000,    -0.250000,      4.39800
    -0.834000,    -0.256000,      4.54200
    -0.886000,    -0.258000,      4.59900
    -0.951000,    -0.260000,      4.66900
     -1.07300,    -0.265000,      4.79700
     -1.07500,    -0.265000,      4.79900
     -1.12700,    -0.266000,      4.85300
     -1.22900,    -0.269000,      4.95600
     -1.27700,    -0.270000,      5.00000
     -1.32300,    -0.271000,      5.04500
     -1.41800,    -0.271000,      5.13200
     -1.49800,    -0.271000,      5.20100
     -1.56000,    -0.271000,      5.25500
     -1.68900,    -0.269000,      5.35700
     -1.75100,    -0.269000,      5.40200
     -1.80700,    -0.267000,      5.44300
     -1.92700,    -0.264000,      5.52500
     -2.05200,    -0.259000,      5.60200
     -2.11800,    -0.256000,      5.64100
     -2.25600,    -0.247000,      5.71600
     -2.38700,    -0.240000,      5.78000
     -2.43400,    -0.237000,      5.80200
     -2.56200,    -0.231000,      5.86300
     -2.59300,    -0.230000,      5.87800
     -2.60600,    -0.237000,      5.90200
     -2.58100,    -0.248000,      5.91200
     -2.55100,    -0.260000,      5.91600
     -2.52800,    -0.272000,      5.91700
     -2.51500,    -0.282000,      5.91800
