absolute_g_mag, bp-rp, mass
12.775,3.808,0.106
12.497,3.65,0.117
12.437,3.616,0.12
12.271,3.55,0.128
12.055,3.465,0.14
11.738,3.306,0.16
11.738,3.306,0.16
11.565,3.218,0.173
11.229,3.048,0.2
10.749,2.833,0.25
10.368,2.684,0.3
10.032,2.569,0.35
9.705,2.458,0.4
9.371,2.348,0.45
9.228,2.297,0.467
8.99,2.218,0.5
8.841,2.165,0.519
8.758,2.136,0.527
8.523,2.055,0.55
8.21,1.974,0.578
7.909,1.818,0.6
7.806,1.725,0.605
7.482,1.56,0.627
7.358,1.503,0.637
7.219,1.444,0.65
6.921,1.314,0.682
6.843,1.282,0.7
6.829,1.277,0.704
6.557,1.187,0.749
6.53,1.18,0.75
6.192,1.09,0.8
6.068,1.059,0.82
5.866,1.01,0.85
5.665,0.963,0.881
5.551,0.936,0.9
5.261,0.87,0.95
4.969,0.809,1.002
4.867,0.789,1.022
4.729,0.761,1.05
4.479,0.715,1.1
4.334,0.686,1.127
4.229,0.668,1.15
4.004,0.627,1.2
3.788,0.589,1.25
3.586,0.551,1.3
3.395,0.514,1.35
3.216,0.476,1.401
3.049,0.435,1.451
2.89,0.388,1.5
2.741,0.337,1.55
2.599,0.286,1.6
2.466,0.238,1.65
2.342,0.191,1.7
2.227,0.149,1.749
2.12,0.112,1.799
2.022,0.081,1.849
1.932,0.0550001,1.9
1.845,0.0319999,1.95
1.764,0.013,2.001
1.688,-0.00400007,2.05
1.613,-0.0189999,2.1
1.542,-0.0319999,2.149
1.472,-0.0439999,2.199
1.405,-0.0549999,2.249
1.339,-0.0650001,2.299
1.211,-0.082,2.4
0.971,-0.111,2.601
0.829,-0.128,2.726
0.746,-0.135,2.801
0.671,-0.143,2.872
0.535,-0.154,3.001
0.351,-0.171,3.183
0.334,-0.172,3.2
0.217,-0.183,3.32
0.14,-0.188,3.399
0.004,-0.198,3.543
-0.048,-0.203,3.599
-0.194,-0.212,3.755
-0.234,-0.216,3.799
-0.353,-0.223,3.93
-0.419,-0.227,4.002
-0.447,-0.229,4.032
-0.607,-0.236,4.199
-0.703,-0.241,4.298
-0.802,-0.245,4.398
-0.825,-0.245,4.422
-0.946,-0.249,4.541
-1.006,-0.251,4.599
-1.06,-0.252,4.65
-1.161,-0.254,4.741
-1.229,-0.255,4.799
-1.297,-0.256,4.858
-1.4,-0.256,4.941
-1.477,-0.254,5
-1.559,-0.254,5.062
-1.675,-0.251,5.141
-1.769,-0.248,5.201
-1.793,-0.247,5.217
-1.936,-0.242,5.3
-2.065,-0.235,5.367
-2.136,-0.23,5.402
-2.199,-0.227,5.433
-2.319,-0.22,5.485
-2.45,-0.213,5.544
-2.455,-0.213,5.546
-2.467,-0.219,5.564
-2.453,-0.229,5.575
-2.425,-0.24,5.579
-2.4,-0.251,5.581
-2.383,-0.261,5.582
-2.375,-0.271,5.583
-2.371,-0.272,5.583
-2.352,-0.267,5.583
-2.346,-0.259,5.584
-2.374,-0.247,5.584
-2.438,-0.235,5.584
-2.53,-0.223,5.584
-2.631,-0.211,5.584
-2.727,-0.199,5.585
-2.815,-0.186,5.585
-2.896,-0.174,5.585
-2.972,-0.16,5.585
-3.043,-0.148,5.586
-3.109,-0.134,5.586
-3.172,-0.12,5.586
-3.231,-0.107,5.586
-3.286,-0.0929999,5.586
-3.339,-0.0780001,5.587
-3.388,-0.0640001,5.587
-3.435,-0.0480001,5.587
-3.479,-0.033,5.587
-3.52,-0.0149999,5.587
-3.557,0.00300002,5.588
-3.59,0.0250001,5.588
