absolute_g_mag,bp-rp,mass
-9.414,0.051,5.562
-9.392,0.023,5.563
-9.379,0.021,5.563
-9.364,0.019,5.564
-9.361,0.019,5.564
-9.354,0.018,5.564
-9.34,0.014,5.565
-9.329,0.011,5.565
-9.317,0.007,5.565
-9.303,0.003,5.566
-9.287,-0.008,5.566
-9.268,-0.022,5.566
-9.249,-0.037,5.567
-9.23,-0.048,5.567
-9.205,-0.052,5.567
-9.187,-0.053,5.567
-9.119,-0.079,5.57
-9.041,-0.102,5.576
-8.99,-0.109,5.579
-8.986,-0.11,5.579
-8.978,-0.114,5.59
-8.97,-0.117,5.596
-8.961,-0.118,5.599
-8.954,-0.12,5.602
-8.954,-0.121,5.607
-8.976,-0.123,5.622
-8.998,-0.124,5.637
-9.007,-0.126,5.647
-9.016,-0.128,5.656
-9.023,-0.129,5.665
-9.03,-0.132,5.677
-9.023,-0.134,5.683
-9.016,-0.136,5.687
-9.005,-0.137,5.689
-8.999,-0.138,5.691
