absolute_g_mag,bp-rp,mass
9.929,0.477,-1.887
9.846,0.693,-1.853
9.776,0.904,-1.821
9.677,1.158,-1.778
9.649,1.222,-1.767
9.602,1.317,-1.748
9.394,1.345,-1.693
9.243,1.353,-1.654
9.049,1.384,-1.603
8.919,1.491,-1.566
8.755,1.639,-1.522
8.578,1.738,-1.472
8.451,1.77,-1.433
8.304,1.801,-1.39
8.09,1.801,-1.324
7.8,1.792,-1.234
7.596,1.781,-1.17
7.589,1.781,-1.168
7.459,1.775,-1.127
7.27,1.765,-1.068
7.221,1.764,-1.053
7.007,1.746,-0.985
6.939,1.731,-0.963
6.768,1.699,-0.907
6.683,1.682,-0.88
6.553,1.658,-0.837
6.485,1.647,-0.815
6.393,1.631,-0.785
6.355,1.626,-0.772
6.298,1.616,-0.754
6.194,1.602,-0.72
6.168,1.598,-0.711
6.162,1.598,-0.709
6.056,1.582,-0.674
5.989,1.576,-0.652
5.885,1.566,-0.617
5.814,1.544,-0.591
5.786,1.495,-0.578
5.392,1.303,-0.449
5.37,1.301,-0.441
5.262,1.294,-0.402
5.238,1.292,-0.393
5.132,1.277,-0.355
5.096,1.271,-0.342
5.008,1.259,-0.31
4.881,1.239,-0.264
4.753,1.217,-0.217
4.622,1.195,-0.17
4.487,1.169,-0.12
4.353,1.142,-0.071
4.223,1.115,-0.022
4.094,1.088,0.027
3.962,1.056,0.077
3.899,1.041,0.102
3.828,1.024,0.129
3.683,0.986,0.187
3.535,0.947,0.246
3.377,0.905,0.309
3.264,0.873,0.356
3.218,0.86,0.374
3.034,0.811,0.45
3.032,0.811,0.451
2.975,0.795,0.475
2.827,0.758,0.537
2.776,0.745,0.558
2.614,0.707,0.626
2.584,0.699,0.639
2.486,0.677,0.68
2.337,0.645,0.743
2.297,0.635,0.76
2.194,0.613,0.804
2.034,0.576,0.872
1.987,0.565,0.893
1.893,0.542,0.933
1.759,0.507,0.992
1.69,0.488,1.023
1.637,0.474,1.047
1.535,0.44,1.094
1.438,0.407,1.141
1.414,0.395,1.153
1.383,0.382,1.168
1.318,0.347,1.203
1.269,0.315,1.233
1.228,0.283,1.26
1.202,0.26,1.28
1.182,0.241,1.296
1.147,0.202,1.327
1.12,0.162,1.357
1.106,0.121,1.385
1.105,0.114,1.389
1.104,0.105,1.395
1.11,0.071,1.413
1.118,0.056,1.421
1.143,0.045,1.421
1.209,0.034,1.405
1.23,0.03,1.401
1.308,0.03,1.372
1.37,0.036,1.345
1.422,0.042,1.32
1.439,0.044,1.312
1.447,0.044,1.308
1.487,0.049,1.29
1.499,0.048,1.287
1.496,0.047,1.289
1.431,0.023,1.335
1.394,0.009,1.363
1.335,-0.017,1.416
1.293,-0.039,1.461
1.292,-0.038,1.461
1.26,-0.06,1.506
1.244,-0.073,1.536
1.243,-0.081,1.551
1.253,-0.091,1.57
1.286,-0.096,1.572
1.319,-0.099,1.566
1.316,-0.1,1.568
1.228,-0.113,1.633
1.157,-0.121,1.682
0.977,-0.138,1.806
0.812,-0.153,1.921
0.659,-0.166,2.028
0.516,-0.177,2.127
0.382,-0.186,2.22
0.256,-0.195,2.308
0.137,-0.204,2.391
0.024,-0.211,2.47
-0.033,-0.216,2.509
-0.084,-0.219,2.544
-0.187,-0.226,2.615
-0.284,-0.232,2.683
-0.38,-0.239,2.747
-0.459,-0.243,2.799
-0.473,-0.244,2.808
-0.561,-0.249,2.868
-0.646,-0.254,2.925
-0.729,-0.259,2.98
-0.81,-0.263,3.033
-0.887,-0.267,3.084
-0.963,-0.272,3.133
-1.154,-0.281,3.256
-1.179,-0.282,3.272
-1.505,-0.298,3.477
-1.692,-0.305,3.591
-1.801,-0.31,3.657
-1.95,-0.316,3.745
-2.071,-0.32,3.817
-2.212,-0.325,3.899
-2.322,-0.329,3.962
-2.369,-0.331,3.989
-2.558,-0.338,4.094
-2.65,-0.343,4.135
-2.873,-0.352,4.23
-3.029,-0.354,4.31
-3.06,-0.355,4.326
-3.205,-0.357,4.4
-3.334,-0.359,4.464
-3.457,-0.36,4.526
-3.502,-0.361,4.548
-3.679,-0.363,4.635
-3.811,-0.365,4.7
-3.941,-0.366,4.762
-4.091,-0.368,4.828
-4.155,-0.368,4.855
-4.183,-0.368,4.866
-4.34,-0.368,4.927
-4.498,-0.366,4.983
-4.695,-0.363,5.045
-4.879,-0.361,5.101
-4.931,-0.361,5.116
-5.06,-0.358,5.152
-5.174,-0.356,5.182
-5.29,-0.354,5.211
-5.406,-0.351,5.238
-5.519,-0.345,5.263
-5.645,-0.339,5.285
-5.78,-0.332,5.305
-5.908,-0.326,5.322
-5.98,-0.323,5.334
-6.021,-0.322,5.341
-6.103,-0.318,5.353
-6.187,-0.314,5.364
-6.271,-0.31,5.374
-6.362,-0.305,5.384
-6.449,-0.301,5.397
-6.478,-0.303,5.422
-6.46,-0.305,5.429
-6.424,-0.311,5.442
-6.408,-0.313,5.449
-6.405,-0.313,5.449
-6.449,-0.311,5.453
-6.481,-0.309,5.455
-6.529,-0.306,5.457
-6.581,-0.302,5.459
-6.657,-0.298,5.461
-6.725,-0.294,5.462
-6.78,-0.29,5.463
-6.848,-0.284,5.463
-6.924,-0.276,5.464
-7.007,-0.267,5.464
-7.084,-0.26,5.465
-7.16,-0.257,5.465
-7.244,-0.252,5.465
-7.3,-0.248,5.466
-7.36,-0.244,5.466
-7.429,-0.239,5.466
-7.496,-0.233,5.466
-7.569,-0.229,5.466
-7.646,-0.22,5.466
-7.733,-0.206,5.466
-7.823,-0.191,5.466
-7.919,-0.19,5.466
-7.972,-0.19,5.466
-8.033,-0.188,5.466
-8.094,-0.184,5.466
-8.162,-0.178,5.466
-8.238,-0.164,5.466
-8.326,-0.15,5.466
-8.429,-0.139,5.465
-8.557,-0.126,5.465
-8.72,-0.108,5.465
-8.904,-0.061,5.465
-9.095,0.015,5.465
-9.243,0.108,5.465
-9.38,0.302,5.464
-9.441,0.451,5.462
-9.491,0.636,5.458
-9.517,0.855,5.451
-9.519,1.005,5.446
-9.51,1.174,5.441
-9.5,1.319,5.44
-9.489,1.469,5.439
-9.475,1.725,5.44
-9.473,1.908,5.446
-9.462,2.17,5.456
-9.466,2.199,5.46
-9.517,2.264,5.484
-9.564,2.256,5.502
-9.662,2.198,5.536
-9.713,2.12,5.551
-9.73,2.077,5.555
-9.753,1.996,5.561
-9.774,1.903,5.565
-9.788,1.826,5.567
-9.797,1.757,5.569
-9.804,1.702,5.57
-9.807,1.678,5.57
-9.804,1.65,5.568
-9.801,1.62,5.566
-9.801,1.596,5.566
-9.803,1.559,5.566
-9.804,1.535,5.566
-9.805,1.497,5.566
-9.821,1.104,5.566
-9.75,0.596,5.566
-9.744,0.571,5.566
-9.736,0.542,5.566
-9.704,0.456,5.566
-9.616,0.262,5.566
-9.608,0.251,5.566
-9.601,0.24,5.566
-9.593,0.228,5.565
-9.584,0.215,5.565
-9.574,0.2,5.565
-9.564,0.185,5.564
-9.554,0.174,5.564
-9.545,0.162,5.564
-9.532,0.147,5.563
-9.517,0.132,5.563
-9.506,0.124,5.562
-9.493,0.114,5.562
-9.481,0.105,5.562
-9.467,0.098,5.561
-9.455,0.092,5.561
-9.435,0.076,5.562
