absolute_g_mag,bp-rp,mass
10.306,1.503,-2.035
10.103,1.559,-1.974
9.857,1.631,-1.898
9.621,1.642,-1.828
9.481,1.635,-1.785
9.432,1.631,-1.769
9.396,1.629,-1.758
9.224,1.688,-1.707
9.135,1.765,-1.681
8.955,1.931,-1.63
8.781,2.002,-1.578
8.496,2.014,-1.489
8.323,1.974,-1.433
8.196,1.944,-1.392
7.988,1.897,-1.325
7.839,1.863,-1.276
7.635,1.819,-1.209
7.536,1.799,-1.177
7.399,1.772,-1.132
7.284,1.751,-1.094
7.094,1.715,-1.031
7.059,1.709,-1.02
6.901,1.68,-0.968
6.855,1.673,-0.953
6.831,1.667,-0.945
6.738,1.652,-0.914
6.674,1.642,-0.892
6.568,1.625,-0.858
6.494,1.614,-0.833
6.449,1.608,-0.818
6.337,1.592,-0.782
6.317,1.589,-0.775
6.285,1.585,-0.765
6.163,1.573,-0.723
6.131,1.57,-0.712
5.665,1.302,-0.56
5.664,1.303,-0.559
5.535,1.294,-0.512
5.389,1.277,-0.458
5.358,1.272,-0.447
5.238,1.254,-0.403
5.089,1.23,-0.349
4.921,1.2,-0.289
4.865,1.189,-0.268
4.771,1.169,-0.233
4.737,1.162,-0.221
4.597,1.132,-0.169
4.563,1.124,-0.157
4.412,1.091,-0.1
4.232,1.046,-0.031
4.227,1.044,-0.029
4.036,0.993,0.046
3.873,0.947,0.11
3.833,0.935,0.126
3.799,0.926,0.14
3.615,0.872,0.215
3.458,0.825,0.28
3.374,0.801,0.315
3.274,0.772,0.357
3.098,0.723,0.431
3.072,0.717,0.442
2.902,0.673,0.514
2.771,0.641,0.57
2.748,0.635,0.58
2.605,0.601,0.641
2.462,0.564,0.703
2.415,0.551,0.724
2.304,0.523,0.773
2.16,0.482,0.838
2.08,0.456,0.874
2.052,0.447,0.887
1.946,0.409,0.938
1.858,0.369,0.983
1.812,0.341,1.009
1.775,0.314,1.033
1.742,0.276,1.06
1.725,0.237,1.084
1.742,0.22,1.085
1.758,0.206,1.085
1.838,0.19,1.062
1.908,0.191,1.035
1.932,0.193,1.025
1.959,0.194,1.013
2.013,0.2,0.99
2.056,0.205,0.971
2.051,0.202,0.974
2.046,0.2,0.977
1.944,0.168,1.035
1.941,0.167,1.037
1.906,0.154,1.057
1.809,0.11,1.121
1.801,0.104,1.128
1.784,0.096,1.14
1.733,0.065,1.182
1.698,0.04,1.216
1.683,0.028,1.233
1.668,0.014,1.253
1.673,-0.013,1.284
1.674,-0.013,1.285
1.681,-0.027,1.301
1.672,-0.034,1.314
1.65,-0.039,1.33
1.611,-0.05,1.361
1.574,-0.057,1.388
1.559,-0.06,1.398
1.504,-0.07,1.437
1.45,-0.079,1.475
1.347,-0.095,1.548
1.153,-0.121,1.683
0.971,-0.139,1.807
0.804,-0.153,1.922
0.7,-0.161,1.993
0.649,-0.165,2.029
0.504,-0.176,2.129
0.367,-0.186,2.223
0.239,-0.195,2.311
0.118,-0.203,2.394
0.003,-0.211,2.473
-0.107,-0.218,2.548
-0.212,-0.225,2.62
-0.313,-0.231,2.688
-0.411,-0.237,2.753
-0.506,-0.243,2.815
-0.529,-0.244,2.831
-0.596,-0.249,2.876
-0.684,-0.253,2.934
-0.725,-0.256,2.961
-0.77,-0.258,2.99
-0.853,-0.262,3.044
-0.862,-0.263,3.05
-0.933,-0.266,3.096
-0.954,-0.268,3.109
-1.011,-0.271,3.146
-1.114,-0.276,3.211
-1.236,-0.282,3.288
-1.432,-0.291,3.409
-1.581,-0.297,3.5
-1.761,-0.304,3.607
-1.899,-0.309,3.688
-1.929,-0.31,3.705
-2.101,-0.316,3.803
-2.2,-0.319,3.857
-2.277,-0.321,3.9
-2.421,-0.325,3.979
-2.484,-0.328,4.012
-2.518,-0.329,4.03
-2.648,-0.332,4.098
-2.761,-0.336,4.155
-2.799,-0.337,4.171
-2.939,-0.342,4.228
-3.071,-0.345,4.283
-3.181,-0.347,4.334
-3.29,-0.348,4.384
-3.355,-0.349,4.412
-3.374,-0.349,4.421
-3.521,-0.35,4.484
-3.66,-0.35,4.541
-3.799,-0.35,4.596
-3.921,-0.35,4.642
-4.06,-0.349,4.691
-4.219,-0.347,4.745
-4.385,-0.343,4.794
-4.546,-0.337,4.835
-4.619,-0.334,4.852
-4.785,-0.328,4.887
-4.898,-0.324,4.912
-4.993,-0.323,4.934
-5.092,-0.319,4.955
-5.193,-0.316,4.976
-5.276,-0.314,5.002
-5.295,-0.317,5.029
-5.271,-0.321,5.037
-5.247,-0.323,5.047
-5.215,-0.328,5.062
