absolute_g_mag, bp-rp, mass
      12.5370,      3.84400,     0.102000
      12.2410,      3.69000,     0.115000
      12.1200,      3.62400,     0.120000
      11.9650,      3.56100,     0.128000
      11.7350,      3.48000,     0.140000
      11.4240,      3.34100,     0.160000
      10.9250,      3.09700,     0.200000
      10.5230,      2.91100,     0.242000
      10.4560,      2.88200,     0.250000
      10.1750,      2.76600,     0.287000
      10.0830,      2.72800,     0.300000
      9.93600,      2.67200,     0.323000
      9.76700,      2.61300,     0.350000
      9.54400,      2.53300,     0.388000
      9.48000,      2.51000,     0.400000
      9.19300,      2.41400,     0.450000
      9.06400,      2.36700,     0.472000
      8.91300,      2.31600,     0.500000
      8.82600,      2.28200,     0.515000
      8.59600,      2.20000,     0.550000
      8.34700,      2.11000,     0.586000
      8.28700,      2.08600,     0.595000
      8.24000,      2.07000,     0.600000
      8.04100,      1.99600,     0.622000
      7.80800,      1.99000,     0.650000
      7.65600,      1.86800,     0.661000
      7.35800,      1.64400,     0.680000
      7.09700,      1.52100,     0.699000
      7.08500,      1.51600,     0.700000
      6.86800,      1.40500,     0.712000
      6.67200,      1.31200,     0.723000
      6.51100,      1.24200,     0.734000
      6.36400,      1.18200,     0.744000
      6.30600,      1.15600,     0.750000
      6.26900,      1.14500,     0.755000
      5.98500,      1.05400,     0.800000
      5.87100,      1.01800,     0.822000
      5.75500,     0.984000,     0.847000
      5.74500,     0.981000,     0.850000
      5.73600,     0.978000,     0.852000
      5.55300,     0.934000,     0.892000
      5.51500,     0.925000,     0.900000
      5.37600,     0.894000,     0.929000
      5.26400,     0.868000,     0.950000
      4.99800,     0.814000,      1.00000
      4.74700,     0.764000,      1.05000
      4.61700,     0.741000,      1.07500
      4.49500,     0.718000,      1.10000
      4.24900,     0.672000,      1.15000
      4.10800,     0.646000,      1.17700
      4.00900,     0.628000,      1.20000
      3.79300,     0.589000,      1.25000
      3.59100,     0.553000,      1.30000
      3.39900,     0.515000,      1.35000
      3.21900,     0.477000,      1.40100
      3.05400,     0.435000,      1.45100
      2.89600,     0.388000,      1.50000
      2.74800,     0.337000,      1.55000
      2.60600,     0.285000,      1.60000
      2.47500,     0.237000,      1.65000
      2.35200,     0.191000,      1.70000
      2.23700,     0.148000,      1.74900
      2.13100,     0.112000,      1.79900
      2.03400,    0.0810001,      1.84900
      1.94400,    0.0550001,      1.90000
      1.86000,    0.0310000,      1.95000
      1.78100,    0.0110000,      2.00100
      1.70700,  -0.00600004,      2.05000
      1.63400,   -0.0210000,      2.10000
      1.56600,   -0.0350000,      2.14900
      1.49800,   -0.0469999,      2.19900
      1.47100,   -0.0510000,      2.22000
      1.43300,   -0.0580001,      2.24900
      1.36900,   -0.0680000,      2.29900
      1.24800,   -0.0860000,      2.40000
      1.01800,    -0.116000,      2.60100
     0.842000,    -0.135000,      2.76500
     0.804000,    -0.140000,      2.80100
     0.670000,    -0.152000,      2.93500
     0.606000,    -0.159000,      3.00100
     0.422000,    -0.177000,      3.19700
     0.419000,    -0.177000,      3.20000
     0.305000,    -0.188000,      3.32900
     0.243000,    -0.194000,      3.39900
     0.151000,    -0.202000,      3.50900
    0.0760000,    -0.208000,      3.59900
   -0.0120000,    -0.216000,      3.70800
   -0.0840000,    -0.222000,      3.79900
    -0.132000,    -0.226000,      3.86100
    -0.239000,    -0.235000,      4.00200
    -0.284000,    -0.239000,      4.06000
    -0.392000,    -0.246000,      4.19900
    -0.496000,    -0.254000,      4.33700
    -0.542000,    -0.257000,      4.39800
    -0.583000,    -0.261000,      4.45400
    -0.689000,    -0.267000,      4.59900
    -0.764000,    -0.273000,      4.70000
    -0.837000,    -0.276000,      4.79900
    -0.934000,    -0.283000,      4.93100
    -0.986000,    -0.285000,      5.00000
     -1.06700,    -0.289000,      5.10900
     -1.13800,    -0.293000,      5.20100
     -1.19000,    -0.294000,      5.27000
     -1.29500,    -0.299000,      5.40200
     -1.31900,    -0.300000,      5.43200
     -1.43900,    -0.304000,      5.58100
     -1.45600,    -0.304000,      5.60200
     -1.47200,    -0.305000,      5.62200
     -1.57700,    -0.307000,      5.74300
     -1.63100,    -0.308000,      5.80200
     -1.65700,    -0.308000,      5.83200
     -1.76500,    -0.309000,      5.94800
