absolute_g_mag,bp-rp,mass
10.506,1.771,-2.121
10.292,1.738,-2.056
9.919,1.693,-1.942
9.811,1.683,-1.909
9.545,1.657,-1.827
9.378,1.792,-1.778
9.332,1.83,-1.765
9.195,1.936,-1.725
9.03,2.006,-1.675
8.868,2.011,-1.625
8.74,2.014,-1.585
8.571,1.98,-1.53
8.402,1.941,-1.475
8.25,1.906,-1.426
8.045,1.863,-1.359
8.021,1.858,-1.351
7.909,1.834,-1.314
7.726,1.798,-1.254
7.477,1.752,-1.171
7.394,1.737,-1.143
7.252,1.711,-1.096
7.19,1.7,-1.075
7.052,1.677,-1.03
6.982,1.663,-1.007
6.889,1.65,-0.975
6.872,1.648,-0.969
6.845,1.644,-0.961
6.738,1.627,-0.925
6.7,1.622,-0.912
6.614,1.609,-0.884
6.526,1.598,-0.854
6.452,1.587,-0.83
6.332,1.576,-0.79
6.309,1.572,-0.783
5.822,1.299,-0.625
5.741,1.293,-0.594
5.678,1.289,-0.571
5.561,1.273,-0.528
5.522,1.268,-0.514
5.337,1.24,-0.446
5.162,1.207,-0.384
5.02,1.179,-0.332
4.969,1.168,-0.313
4.806,1.132,-0.253
4.746,1.119,-0.231
4.519,1.064,-0.145
4.516,1.063,-0.144
4.383,1.029,-0.093
4.279,0.998,-0.052
4.198,0.975,-0.02
4.026,0.922,0.049
3.977,0.907,0.069
3.789,0.848,0.146
3.75,0.836,0.162
3.634,0.8,0.211
3.441,0.742,0.293
3.398,0.729,0.311
3.23,0.681,0.383
3.084,0.641,0.445
2.995,0.618,0.484
2.839,0.576,0.551
2.701,0.536,0.613
2.569,0.497,0.672
2.424,0.446,0.74
2.382,0.431,0.76
2.368,0.426,0.766
2.267,0.37,0.82
2.247,0.357,0.832
2.244,0.345,0.837
2.249,0.336,0.838
2.27,0.316,0.837
2.33,0.304,0.817
2.4,0.302,0.791
2.412,0.303,0.786
2.458,0.305,0.767
2.484,0.304,0.757
2.485,0.304,0.757
2.486,0.303,0.757
2.348,0.27,0.825
2.313,0.259,0.843
2.192,0.218,0.91
2.18,0.212,0.918
2.096,0.175,0.972
2.034,0.137,1.017
2.002,0.113,1.044
1.971,0.082,1.078
1.967,0.073,1.087
1.944,0.046,1.117
1.906,0.026,1.151
1.883,0.017,1.17
1.857,0.01,1.188
1.793,-0.007,1.233
1.732,-0.022,1.276
1.671,-0.035,1.318
1.614,-0.048,1.359
1.557,-0.06,1.399
1.502,-0.07,1.438
1.448,-0.079,1.476
1.343,-0.095,1.548
1.175,-0.118,1.665
1.149,-0.121,1.683
0.965,-0.138,1.808
0.955,-0.139,1.815
0.796,-0.153,1.923
0.639,-0.165,2.03
0.491,-0.176,2.131
0.422,-0.181,2.178
