absolute_g_mag,bp-rp,mass
1.491,0.341,1.137
1.445,0.309,1.165
1.399,0.268,1.199
1.366,0.231,1.227
1.345,0.203,1.249
1.328,0.166,1.274
1.332,0.127,1.294
1.361,0.11,1.292
1.391,0.095,1.29
1.478,0.086,1.263
1.548,0.089,1.235
1.574,0.09,1.224
1.58,0.092,1.221
1.635,0.098,1.196
1.673,0.104,1.178
1.699,0.105,1.167
1.699,0.106,1.167
1.697,0.104,1.17
1.613,0.071,1.224
1.578,0.057,1.249
1.503,0.021,1.309
1.496,0.018,1.315
1.486,0.013,1.324
1.438,-0.015,1.375
1.41,-0.036,1.413
1.407,-0.039,1.419
1.4,-0.05,1.44
1.411,-0.064,1.458
1.421,-0.068,1.462
1.426,-0.071,1.465
1.459,-0.077,1.465
1.459,-0.077,1.465
1.42,-0.083,1.494
1.348,-0.096,1.548
1.346,-0.096,1.549
1.156,-0.122,1.682
0.975,-0.138,1.806
0.809,-0.153,1.921
0.655,-0.166,2.028
0.512,-0.177,2.128
0.377,-0.186,2.221
0.25,-0.196,2.309
0.13,-0.204,2.392
0.091,-0.207,2.419
0.017,-0.212,2.471
-0.092,-0.219,2.545
-0.195,-0.226,2.616
-0.294,-0.232,2.685
-0.391,-0.238,2.749
-0.484,-0.243,2.811
-0.573,-0.248,2.87
-0.659,-0.254,2.928
-0.743,-0.258,2.983
-0.79,-0.261,3.013
-0.824,-0.264,3.036
-0.903,-0.267,3.088
-0.979,-0.271,3.137
-1.001,-0.273,3.151
-1.198,-0.283,3.277
-1.373,-0.29,3.387
-1.531,-0.297,3.484
-1.824,-0.309,3.662
-1.833,-0.309,3.667
-2,-0.315,3.765
-2.112,-0.32,3.83
-2.226,-0.323,3.895
-2.373,-0.329,3.978
-2.533,-0.335,4.066
-2.621,-0.337,4.114
-2.772,-0.345,4.179
-2.949,-0.35,4.255
-3.089,-0.353,4.325
-3.146,-0.353,4.353
-3.218,-0.355,4.388
-3.34,-0.357,4.446
-3.46,-0.357,4.503
-3.586,-0.358,4.561
-3.6,-0.358,4.567
-3.759,-0.359,4.638
-3.909,-0.36,4.702
-4.011,-0.36,4.744
-4.151,-0.36,4.8
-4.287,-0.359,4.85
-4.456,-0.358,4.909
-4.575,-0.358,4.948
-4.744,-0.355,5
-4.898,-0.352,5.043
-5.048,-0.347,5.082
-5.163,-0.344,5.109
-5.299,-0.337,5.134
-5.432,-0.33,5.156
-5.554,-0.325,5.176
-5.655,-0.322,5.195
-5.657,-0.322,5.196
-5.695,-0.32,5.202
-5.773,-0.317,5.215
-5.85,-0.313,5.228
-5.923,-0.311,5.242
-5.955,-0.314,5.268
-5.92,-0.317,5.277
-5.891,-0.322,5.288
-5.87,-0.325,5.303
-5.868,-0.325,5.304
-5.87,-0.325,5.305
-5.901,-0.324,5.305
-5.956,-0.32,5.307
-6.017,-0.315,5.308
-6.082,-0.312,5.309
-6.142,-0.307,5.31
-6.214,-0.303,5.311
-6.267,-0.299,5.312
-6.323,-0.295,5.313
-6.384,-0.291,5.313
-6.45,-0.287,5.314
-6.526,-0.279,5.315
-6.619,-0.268,5.315
-6.703,-0.26,5.316
-6.777,-0.258,5.316
-6.836,-0.254,5.317
-6.892,-0.251,5.317
-6.951,-0.247,5.317
-7.014,-0.242,5.317
-7.047,-0.24,5.317
-7.116,-0.234,5.317
-7.192,-0.228,5.316
-7.276,-0.22,5.316
-7.373,-0.203,5.316
-7.427,-0.194,5.315
-7.488,-0.19,5.315
-7.557,-0.19,5.315
-7.641,-0.189,5.314
-7.751,-0.18,5.314
-7.91,-0.155,5.313
-8.125,-0.132,5.313
-8.358,-0.105,5.313
-8.583,-0.05,5.313
-8.775,0.034,5.312
-8.905,0.156,5.31
-8.956,0.24,5.307
-8.988,0.31,5.305
-9.02,0.401,5.302
-9.041,0.469,5.299
-9.059,0.527,5.298
-9.079,0.621,5.295
-9.104,0.784,5.291
-9.114,0.936,5.286
-9.11,1.112,5.281
-9.097,1.355,5.279
-9.058,1.846,5.279
-8.974,2.367,5.283
-8.858,2.663,5.286
-8.763,2.787,5.301
-8.863,2.791,5.354
-8.914,2.791,5.382
-8.921,2.789,5.388
-8.929,2.786,5.395
-8.879,2.746,5.391
-8.877,2.744,5.39
-8.88,2.701,5.408
-8.883,2.689,5.414
-8.919,2.641,5.449
-8.94,2.589,5.476
-8.992,2.488,5.53
-9.013,2.456,5.548
-9.018,2.449,5.553
