absolute_g_mag,bp-rp,mass
10.089,0.881,-1.949
9.813,1.226,-1.85
9.679,1.404,-1.801
9.577,1.464,-1.77
9.494,1.461,-1.747
9.332,1.466,-1.702
9.159,1.467,-1.655
9.012,1.588,-1.613
8.884,1.714,-1.579
8.694,1.866,-1.526
8.545,1.895,-1.48
8.421,1.922,-1.443
8.234,1.928,-1.386
7.912,1.904,-1.285
7.702,1.872,-1.219
7.674,1.866,-1.21
7.579,1.843,-1.179
7.368,1.799,-1.11
7.349,1.794,-1.104
7.114,1.748,-1.027
7.07,1.74,-1.013
6.881,1.704,-0.95
6.807,1.689,-0.926
6.673,1.665,-0.882
6.598,1.651,-0.858
6.506,1.637,-0.828
6.479,1.633,-0.819
6.422,1.624,-0.8
6.318,1.608,-0.766
6.296,1.606,-0.759
6.292,1.604,-0.757
6.185,1.59,-0.723
6.117,1.581,-0.7
6.016,1.572,-0.666
5.937,1.564,-0.639
5.896,1.519,-0.623
5.501,1.304,-0.493
5.474,1.302,-0.483
5.369,1.294,-0.445
5.317,1.289,-0.426
5.237,1.278,-0.397
5.184,1.27,-0.378
5.104,1.259,-0.349
5.086,1.256,-0.342
4.973,1.237,-0.301
4.964,1.235,-0.298
4.831,1.214,-0.25
4.807,1.209,-0.241
4.7,1.19,-0.202
4.688,1.187,-0.198
4.547,1.16,-0.145
4.4,1.129,-0.091
4.388,1.126,-0.086
4.26,1.098,-0.039
4.218,1.089,-0.023
4.151,1.072,0.003
4.113,1.063,0.017
3.948,1.024,0.081
3.876,1.005,0.11
3.79,0.981,0.144
3.742,0.968,0.163
3.625,0.936,0.21
3.445,0.886,0.283
3.353,0.859,0.32
3.251,0.831,0.362
3.139,0.801,0.409
3.034,0.772,0.453
2.89,0.735,0.513
2.78,0.708,0.56
2.718,0.693,0.586
2.55,0.654,0.657
2.477,0.637,0.688
2.425,0.625,0.71
2.283,0.592,0.771
2.15,0.56,0.829
2.044,0.534,0.875
1.905,0.496,0.937
1.836,0.476,0.967
1.766,0.456,0.999
1.659,0.419,1.05
1.558,0.378,1.1
1.553,0.375,1.103
