absolute_g_mag,bp-rp,mass
9.626,0.702,-1.676
9.62,0.752,-1.673
9.394,0.953,-1.618
9.239,0.973,-1.584
9.152,1.009,-1.567
8.98,1.01,-1.528
8.872,1.073,-1.499
8.796,1.132,-1.48
8.668,1.216,-1.444
8.572,1.288,-1.419
8.482,1.345,-1.394
8.311,1.379,-1.343
8.202,1.411,-1.31
8.042,1.461,-1.264
7.888,1.466,-1.216
7.763,1.48,-1.178
7.622,1.494,-1.135
7.44,1.5,-1.079
7.268,1.511,-1.026
7.043,1.518,-0.956
7.027,1.518,-0.951
6.847,1.529,-0.895
6.753,1.531,-0.866
6.546,1.54,-0.803
6.494,1.542,-0.787
6.327,1.55,-0.736
6.256,1.553,-0.714
6.217,1.555,-0.702
6.118,1.557,-0.671
6.039,1.56,-0.647
6.015,1.561,-0.639
5.898,1.56,-0.603
5.826,1.56,-0.58
5.737,1.561,-0.552
5.633,1.561,-0.518
5.63,1.561,-0.517
5.564,1.506,-0.489
5.488,1.433,-0.455
5.078,1.301,-0.324
5.01,1.296,-0.3
4.951,1.289,-0.279
4.866,1.276,-0.248
4.833,1.271,-0.236
4.755,1.26,-0.208
4.711,1.253,-0.192
4.645,1.243,-0.169
4.603,1.235,-0.153
4.569,1.23,-0.141
4.488,1.217,-0.112
4.455,1.212,-0.1
4.377,1.199,-0.071
4.27,1.18,-0.032
4.266,1.179,-0.03
4.16,1.159,0.009
4.077,1.143,0.04
4.06,1.139,0.046
4.031,1.134,0.057
3.954,1.119,0.086
3.849,1.099,0.126
3.743,1.077,0.167
3.636,1.054,0.208
3.53,1.032,0.248
3.44,1.008,0.284
3.411,1.001,0.296
3.335,0.982,0.326
3.269,0.967,0.352
3.231,0.957,0.368
3.116,0.929,0.414
2.994,0.898,0.463
2.876,0.869,0.511
2.777,0.844,0.551
2.752,0.837,0.561
2.606,0.802,0.622
2.475,0.771,0.676
2.444,0.765,0.689
2.33,0.739,0.737
2.259,0.725,0.766
2.221,0.716,0.782
2.061,0.683,0.849
2.038,0.678,0.859
1.95,0.66,0.896
1.803,0.63,0.958
1.782,0.626,0.967
1.725,0.615,0.991
1.564,0.579,1.059
1.52,0.568,1.078
1.469,0.557,1.1
1.337,0.524,1.158
1.269,0.506,1.188
1.207,0.489,1.216
1.074,0.447,1.277
1.028,0.431,1.298
0.998,0.42,1.312
0.906,0.378,1.359
0.827,0.332,1.402
0.814,0.322,1.411
0.778,0.297,1.434
0.739,0.266,1.46
0.704,0.237,1.486
0.673,0.209,1.51
0.655,0.191,1.525
0.643,0.178,1.536
0.618,0.148,1.56
0.593,0.108,1.591
0.574,0.07,1.621
0.562,0.038,1.649
0.558,0.009,1.676
0.563,-0.016,1.7
0.581,-0.039,1.721
0.583,-0.041,1.723
0.612,-0.058,1.738
0.64,-0.063,1.737
0.734,-0.073,1.719
0.806,-0.071,1.692
0.866,-0.069,1.666
0.922,-0.064,1.639
0.972,-0.06,1.614
1.012,-0.056,1.594
1.034,-0.056,1.587
0.99,-0.069,1.626
0.946,-0.084,1.669
0.914,-0.094,1.702
0.877,-0.107,1.746
0.852,-0.118,1.783
0.838,-0.127,1.812
0.836,-0.134,1.838
0.884,-0.141,1.845
0.923,-0.142,1.837
0.934,-0.143,1.836
0.922,-0.145,1.846
0.885,-0.148,1.872
0.817,-0.154,1.92
0.665,-0.166,2.027
0.524,-0.178,2.126
0.392,-0.187,2.219
0.267,-0.196,2.307
0.151,-0.204,2.389
0.04,-0.213,2.468
-0.066,-0.22,2.541
-0.167,-0.227,2.612
-0.264,-0.234,2.68
-0.357,-0.239,2.743
-0.448,-0.245,2.804
-0.534,-0.251,2.863
-0.616,-0.256,2.92
-0.699,-0.26,2.974
-0.779,-0.264,3.026
-0.852,-0.268,3.077
-0.928,-0.272,3.125
-1.006,-0.277,3.175
-1.138,-0.284,3.261
-1.454,-0.298,3.463
-1.738,-0.31,3.638
-1.994,-0.32,3.793
-2.141,-0.326,3.881
-2.228,-0.331,3.932
-2.42,-0.338,4.044
-2.445,-0.339,4.058
-2.619,-0.348,4.136
-2.897,-0.357,4.271
-2.91,-0.357,4.277
-2.956,-0.358,4.302
-3.154,-0.361,4.412
-3.247,-0.364,4.464
-3.394,-0.37,4.56
-3.509,-0.373,4.625
-3.547,-0.373,4.645
-3.717,-0.375,4.733
-3.78,-0.376,4.765
-3.853,-0.376,4.802
-3.998,-0.378,4.874
-4.133,-0.38,4.939
-4.261,-0.38,5
-4.357,-0.381,5.044
-4.497,-0.382,5.105
-4.684,-0.381,5.183
-4.694,-0.382,5.187
-4.87,-0.382,5.254
-4.907,-0.381,5.268
-4.966,-0.381,5.289
-5.15,-0.38,5.351
-5.366,-0.378,5.416
-5.451,-0.377,5.44
-5.587,-0.375,5.477
-5.716,-0.373,5.509
-5.863,-0.368,5.541
-6.019,-0.363,5.569
-6.09,-0.361,5.583
-6.155,-0.36,5.595
-6.274,-0.356,5.617
-6.384,-0.351,5.637
-6.498,-0.346,5.657
-6.641,-0.338,5.676
-6.791,-0.329,5.692
-6.899,-0.324,5.705
-6.908,-0.323,5.706
-7.004,-0.318,5.715
-7.126,-0.312,5.726
-7.246,-0.304,5.734
-7.354,-0.298,5.741
-7.486,-0.29,5.749
-7.672,-0.273,5.755
-7.87,-0.258,5.759
-7.949,-0.254,5.764
-7.87,-0.259,5.767
-7.909,-0.258,5.772
-8.056,-0.249,5.774
-8.3,-0.231,5.777
-8.411,-0.221,5.778
-8.482,-0.211,5.778
-8.557,-0.198,5.779
-8.635,-0.189,5.779
-8.695,-0.19,5.78
-8.78,-0.19,5.781
-8.847,-0.187,5.781
-8.917,-0.18,5.782
-8.987,-0.172,5.783
-9.054,-0.161,5.783
-9.114,-0.151,5.784
-9.139,-0.148,5.784
-9.146,-0.147,5.785
-9.122,-0.15,5.785
-9.023,-0.167,5.786
-8.945,-0.179,5.786
-8.907,-0.183,5.786
-8.88,-0.185,5.786
-8.839,-0.188,5.787
-8.774,-0.19,5.787
-8.734,-0.19,5.788
-8.696,-0.19,5.788
-8.66,-0.19,5.788
-8.592,-0.197,5.789
-8.548,-0.204,5.789
-8.505,-0.212,5.79
-8.464,-0.22,5.79
-8.424,-0.223,5.79
-8.37,-0.228,5.79
-8.332,-0.231,5.791
-8.274,-0.236,5.791
-8.234,-0.239,5.791
-8.198,-0.243,5.792
-8.155,-0.245,5.792
-8.121,-0.248,5.792
-8.087,-0.25,5.792
-8.044,-0.253,5.793
-8,-0.255,5.793
-7.956,-0.258,5.793
-7.927,-0.259,5.793
-7.894,-0.261,5.793
-7.858,-0.264,5.793
-7.81,-0.269,5.794
-7.803,-0.27,5.796
-7.69,-0.284,5.801
-7.731,-0.282,5.808
-7.641,-0.29,5.81
-7.623,-0.293,5.819
-7.552,-0.3,5.832
-7.448,-0.31,5.845
-7.368,-0.316,5.851
-7.26,-0.325,5.863
-7.197,-0.331,5.867
-7.183,-0.332,5.868
-7.135,-0.338,5.872
-7.088,-0.342,5.876
-7.059,-0.346,5.881
-7.054,-0.348,5.885
-7.143,-0.342,5.893
-7.246,-0.333,5.894
-7.342,-0.325,5.894
-7.42,-0.32,5.895
-7.469,-0.317,5.896
-7.526,-0.313,5.896
-7.596,-0.308,5.897
-7.678,-0.302,5.898
-7.769,-0.297,5.899
-7.859,-0.291,5.9
-7.962,-0.282,5.901
-8.109,-0.266,5.902
-7.959,-0.284,5.905
-8.335,-0.253,5.908
-8.537,-0.239,5.909
-8.761,-0.219,5.911
-8.977,-0.19,5.912
-9.216,-0.183,5.914
-9.49,-0.145,5.915
-9.732,-0.12,5.917
-9.852,-0.107,5.918
-9.926,-0.098,5.92
-9.99,-0.082,5.922
-10.059,-0.057,5.923
-10.125,-0.048,5.925
-10.217,0.007,5.926
-10.302,0.022,5.927
-10.396,0.103,5.928
-10.449,0.15,5.929
-10.478,0.187,5.93
-10.506,0.228,5.931
-10.538,0.273,5.933
-10.588,0.346,5.938
-10.623,0.409,5.942
-10.66,0.474,5.946
-10.687,0.537,5.948
-10.741,0.628,5.959
-10.79,0.706,5.971
-10.791,0.706,5.972
-10.85,0.717,5.995
-10.862,0.691,6.002
-10.861,0.691,6.001
-10.851,0.64,6.002
-10.852,0.593,6.007
-10.844,0.543,6.009
-10.831,0.498,6.011
-10.756,0.321,6.01
-10.527,0.045,6.009
-10.393,-0.01,6.009
-10.325,-0.049,6.009
-10.281,-0.056,6.009
-10.236,-0.072,6.01
-10.205,-0.083,6.01
-10.191,-0.087,6.009
-10.165,-0.093,6.009
-10.117,-0.103,6.009
-10.057,-0.11,6.009
-10.007,-0.116,6.009
-9.937,-0.123,6.008
-9.858,-0.131,6.008
-9.757,-0.141,6.007
-9.523,-0.177,6.007
-9.447,-0.184,6.007
-9.352,-0.19,6.006
-9.087,-0.205,6.007
-8.707,-0.244,6.007
-8.588,-0.252,6.005
-8.29,-0.274,6.004
-7.245,-0.355,6.003
-6.112,-0.403,6.002
-5.748,-0.411,6
-5.649,-0.413,5.998
-5.586,-0.412,5.997
-5.537,-0.409,5.995
-5.485,-0.408,5.992
-5.115,-0.417,5.989
-4.782,-0.423,5.986
-4.66,-0.426,5.983
-4.543,-0.428,5.98
-4.419,-0.43,5.976
-4.195,-0.434,5.969
-4.001,-0.437,5.96
-3.819,-0.439,5.95
-3.63,-0.442,5.941
-3.445,-0.444,5.93
-3.251,-0.445,5.916
-3.088,-0.448,5.903
-2.955,-0.448,5.893
-15.323,-5.336,5.885
-15.369,-5.456,5.872
-15.369,-5.464,5.868
-15.359,-5.455,5.851
-15.257,-5.486,5.835
-15.244,-5.503,5.825
-15.259,-5.524,5.826
-15.268,-5.536,5.827
-15.272,-5.54,5.827
-15.318,-5.582,5.835
-15.32,-5.584,5.835
-15.396,-5.656,5.847
-15.463,-5.723,5.856
-15.486,-5.748,5.858
-15.53,-5.797,5.863
-15.577,-5.848,5.869
-15.629,-5.904,5.875
-15.673,-5.951,5.88
-15.738,-6.019,5.889
-15.79,-6.071,5.896
-15.854,-6.136,5.904
-15.904,-6.186,5.911
-15.971,-6.252,5.921
-16.041,-6.318,5.932
-16.108,-6.379,5.943
-16.177,-6.442,5.954
-16.245,-6.504,5.965
-16.284,-6.54,5.971
