absolute_g_mag, bp-rp, mass
      11.5870,      3.67800,     0.117000
      11.5350,      3.65300,     0.120000
      11.1830,      3.50800,     0.140000
      11.0680,      3.48300,     0.147000
      10.6590,      3.35500,     0.176000
      10.4920,      3.27900,     0.189000
      10.4060,      3.23800,     0.197000
      10.3000,      3.18700,     0.207000
      10.1210,      3.09900,     0.225000
      9.94000,      3.00900,     0.245000
      9.78300,      2.93500,     0.264000
      9.56400,      2.83300,     0.293000
      9.51100,      2.80900,     0.300000
      9.41500,      2.76800,     0.315000
      9.19700,      2.67700,     0.350000
      8.94600,      2.57700,     0.397000
      8.93000,      2.57000,     0.400000
      8.87300,      2.54800,     0.411000
      8.68500,      2.47300,     0.450000
      8.64800,      2.45800,     0.458000
      8.46300,      2.38700,     0.500000
      8.35900,      2.34500,     0.524000
      8.24500,      2.30300,     0.550000
      8.15400,      2.26500,     0.572000
      8.03600,      2.21900,     0.600000
      8.02800,      2.21500,     0.602000
      7.84700,      2.14400,     0.642000
      7.81500,      2.13200,     0.650000
      7.55200,      2.03100,     0.699000
      7.54500,      2.02900,     0.700000
      6.81100,      1.49000,     0.750000
      6.65100,      1.44800,     0.788000
      6.59500,      1.43400,     0.800000
      6.49200,      1.40400,     0.821000
      6.31900,      1.35600,     0.850000
      6.24200,      1.33300,     0.862000
      5.99200,      1.26100,     0.900000
      5.68700,      1.17200,     0.941000
      5.61700,      1.15200,     0.950000
      5.51100,      1.12200,     0.964000
      5.26800,      1.05400,     0.995000
      5.22200,      1.04100,      1.00000
      5.15600,      1.02300,      1.00800
      4.96000,     0.972000,      1.03200
      4.80900,     0.933000,      1.05000
      4.79900,     0.931000,      1.05100
      4.62500,     0.887000,      1.07100
      4.45300,     0.846000,      1.09100
      4.37400,     0.826000,      1.10000
      4.34500,     0.820000,      1.10300
      4.14600,     0.773000,      1.12500
      3.94400,     0.725000,      1.15000
      3.93600,     0.723000,      1.15100
      3.82500,     0.694000,      1.16700
      3.74400,     0.661000,      1.19000
      3.72500,     0.650000,      1.20000
      3.68100,     0.623000,      1.22200
      3.70100,     0.608000,      1.24700
      3.70300,     0.607000,      1.25000
      3.72300,     0.603000,      1.26600
      3.70300,     0.596000,      1.29700
      3.69800,     0.595000,      1.30000
      3.67800,     0.590000,      1.31700
      3.53600,     0.568000,      1.35000
      3.45100,     0.554000,      1.37000
      3.31800,     0.531000,      1.40100
      3.10300,     0.483000,      1.45100
      3.05200,     0.470000,      1.46200
      2.90000,     0.423000,      1.50000
      2.75800,     0.363000,      1.54100
      2.73200,     0.352000,      1.55000
      2.60500,     0.288000,      1.60000
      2.55700,     0.264000,      1.62200
      2.48400,     0.237000,      1.65000
      2.36100,     0.191000,      1.70000
      2.24700,     0.148000,      1.74900
      2.14100,     0.111000,      1.79900
      2.04600,    0.0790000,      1.84900
      1.95700,    0.0530000,      1.90000
      1.87400,    0.0290000,      1.95000
      1.79600,   0.00899994,      2.00100
      1.72400,  -0.00800002,      2.05000
      1.65300,   -0.0230000,      2.10000
      1.58600,   -0.0370001,      2.14900
      1.52000,   -0.0500000,      2.19900
      1.45800,   -0.0620000,      2.24900
      1.39800,   -0.0720000,      2.29900
      1.28000,   -0.0910001,      2.40000
      1.06400,    -0.121000,      2.60100
     0.863000,    -0.144000,      2.80100
     0.678000,    -0.166000,      3.00100
     0.506000,    -0.183000,      3.20000
     0.346000,    -0.200000,      3.39900
     0.194000,    -0.216000,      3.59900
    0.0520000,    -0.230000,      3.79900
   -0.0840000,    -0.242000,      4.00200
    -0.213000,    -0.254000,      4.19900
    -0.337000,    -0.266000,      4.39800
    -0.456000,    -0.277000,      4.59900
    -0.460000,    -0.278000,      4.60700
    -0.570000,    -0.287000,      4.79900
    -0.682000,    -0.297000,      5.00000
    -0.789000,    -0.307000,      5.20100
    -0.839000,    -0.311000,      5.29500
    -0.895000,    -0.315000,      5.40200
    -0.993000,    -0.324000,      5.59400
    -0.997000,    -0.323000,      5.60200
     -1.08300,    -0.331000,      5.77200
     -1.09800,    -0.333000,      5.80200
     -1.16900,    -0.338000,      5.94500
