absolute_g_mag,bp-rp,mass
14.412,-5.7,-2.095
14.176,-5.595,-2.048
14.091,-5.561,-2.031
13.537,-5.336,-1.919
13.205,-5.209,-1.849
12.89,-5.141,-1.782
12.829,-5.178,-1.766
12.788,-5.201,-1.756
12.674,-5.265,-1.726
12.478,-5.377,-1.677
12.239,-5.32,-1.627
12.06,-5.265,-1.589
11.802,-5.17,-1.535
11.537,-5.034,-1.48
11.324,-4.924,-1.436
11.009,-4.769,-1.369
10.819,-4.674,-1.329
10.456,-4.501,-1.25
10.365,-4.457,-1.23
10.106,-4.338,-1.172
10.001,-4.292,-1.148
9.669,-4.142,-1.073
9.401,-4.024,-1.012
9.379,-4.014,-1.007
9.368,-4.008,-1.005
9.2,-3.934,-0.968
9.109,-3.897,-0.946
8.985,-3.84,-0.92
8.852,-3.785,-0.889
8.814,-3.767,-0.882
8.64,-3.694,-0.842
8.598,-3.677,-0.833
8.59,-3.674,-0.831
8.387,-3.591,-0.785
8.309,-3.563,-0.766
7.393,-2.838,-0.62
7.318,-2.793,-0.607
7.134,-2.734,-0.555
7.114,-2.727,-0.55
6.937,-2.664,-0.499
6.874,-2.64,-0.482
6.717,-2.58,-0.438
6.486,-2.486,-0.375
6.425,-2.461,-0.358
6.25,-2.388,-0.31
6.139,-2.34,-0.279
5.999,-2.279,-0.239
5.948,-2.258,-0.225
5.716,-2.156,-0.159
5.689,-2.144,-0.151
5.43,-2.029,-0.074
5.347,-1.993,-0.049
5.14,-1.9,0.015
5.048,-1.859,0.044
4.829,-1.763,0.113
4.756,-1.732,0.137
4.516,-1.629,0.217
4.494,-1.62,0.224
4.46,-1.606,0.236
4.282,-1.534,0.297
4.121,-1.47,0.353
3.934,-1.401,0.418
3.728,-1.325,0.492
3.692,-1.313,0.505
3.551,-1.262,0.555
3.366,-1.193,0.622
3.235,-1.143,0.668
3.23,-1.14,0.67
3.056,-1.069,0.733
2.88,-0.989,0.795
2.819,-0.957,0.817
2.769,-0.93,0.835
2.661,-0.86,0.871
2.55,-0.767,0.908
2.541,-0.746,0.91
2.534,-0.729,0.912
2.543,-0.658,0.904
2.596,-0.642,0.882
2.614,-0.643,0.875
2.651,-0.644,0.86
2.707,-0.651,0.839
2.744,-0.656,0.825
2.757,-0.658,0.82
2.757,-0.658,0.82
2.739,-0.647,0.826
2.605,-0.587,0.876
2.533,-0.552,0.903
2.367,-0.461,0.965
2.361,-0.458,0.967
2.237,-0.379,1.015
2.114,-0.289,1.065
2.103,-0.281,1.069
2.022,-0.212,1.106
1.969,-0.155,1.134
1.906,-0.095,1.171
1.892,-0.075,1.182
1.868,-0.062,1.197
1.826,-0.041,1.22
1.802,-0.032,1.232
1.724,-0.005,1.275
1.648,0.02,1.318
1.577,0.042,1.359
1.507,0.063,1.399
1.44,0.082,1.438
1.376,0.098,1.476
1.253,0.124,1.548
1.028,0.169,1.683
0.971,0.177,1.717
0.821,0.199,1.808
0.721,0.213,1.868
0.63,0.226,1.923
0.456,0.248,2.03
0.292,0.267,2.13
0.138,0.286,2.224
0.126,0.287,2.232
-0.004,0.303,2.313
-0.14,0.318,2.396
-0.269,0.332,2.476
-0.392,0.346,2.551
-0.51,0.359,2.623
-0.565,0.365,2.657
-0.622,0.372,2.692
-0.676,0.377,2.724
-0.731,0.384,2.758
-0.836,0.394,2.821
-0.938,0.404,2.882
-1.036,0.414,2.94
-1.131,0.424,2.997
-1.224,0.433,3.051
-1.257,0.436,3.071
-1.314,0.441,3.104
-1.402,0.449,3.155
-1.597,0.467,3.268
-1.653,0.472,3.3
-1.839,0.486,3.405
-2.039,0.501,3.516
-2.162,0.51,3.583
-2.359,0.522,3.689
-2.4,0.525,3.71
-2.469,0.529,3.747
-2.635,0.538,3.833
-2.739,0.543,3.886
-2.766,0.544,3.9
-2.895,0.55,3.964
-3.016,0.556,4.023
-3.072,0.558,4.05
-3.079,0.559,4.054
-3.193,0.563,4.107
-3.316,0.568,4.163
-3.403,0.57,4.203
-3.43,0.571,4.213
-3.604,0.576,4.277
-3.76,0.574,4.336
-3.905,0.57,4.391
-4.038,0.569,4.443
-4.151,0.566,4.483
-4.306,0.56,4.537
-4.471,0.551,4.589
-4.628,0.539,4.634
-4.769,0.536,4.675
-4.903,0.531,4.713
-5.029,0.523,4.746
-5.034,0.523,4.747
-5.045,0.522,4.75
-5.14,0.516,4.773
-5.261,0.508,4.803
-5.326,0.513,4.842
-5.302,0.521,4.851
-5.281,0.53,4.862
-5.268,0.536,4.877
-5.256,0.545,4.893
-5.255,0.545,4.893
-5.25,0.54,4.883
-5.265,0.536,4.875
-5.305,0.531,4.873
-5.35,0.522,4.873
-5.408,0.513,4.874
-5.463,0.504,4.876
-5.511,0.497,4.877
-5.563,0.49,4.878
-5.619,0.482,4.88
-5.677,0.473,4.881
-5.724,0.465,4.882
-5.775,0.454,4.883
-5.836,0.434,4.884
-5.898,0.414,4.884
-5.957,0.402,4.885
-6.013,0.394,4.885
-6.072,0.384,4.885
-6.135,0.373,4.884
-6.179,0.365,4.884
-6.224,0.355,4.884
-6.273,0.345,4.883
-6.323,0.334,4.882
-6.374,0.32,4.881
-6.427,0.303,4.88
-6.478,0.273,4.878
-6.534,0.245,4.876
-6.603,0.244,4.874
-6.679,0.246,4.872
-6.756,0.232,4.869
-6.796,0.223,4.868
-6.871,0.179,4.864
-6.956,0.14,4.86
-7.006,0.127,4.857
-7.06,0.111,4.855
-7.119,0.093,4.851
-7.185,0.071,4.847
-7.253,0.03,4.842
-7.314,-0.046,4.835
-7.357,-0.173,4.824
-7.339,-0.37,4.807
-7.148,-0.879,4.773
-6.799,-1.599,4.716
-6.501,-2.274,4.696
-6.427,-2.548,4.711
-6.404,-2.743,4.734
-6.383,-2.984,4.766
-6.327,-3.251,4.791
-6.237,-3.543,4.811
-6.158,-3.863,4.845
-6.069,-4.158,4.881
-5.916,-4.4,4.89
-5.73,-4.621,4.882
-5.433,-4.852,4.861
-5.364,-4.917,4.862
-5.29,-4.978,4.872
-5.261,-5.042,4.895
-5.239,-5.082,4.909
-5.207,-5.142,4.93
-5.187,-5.207,4.961
-5.242,-5.113,4.926
-5.305,-4.981,4.878
-5.458,-4.789,4.848
-5.672,-4.674,4.88
-6.416,-3.758,4.921
-7.129,-2.142,4.927
-7.258,-1.825,4.93
-7.311,-1.695,4.933
-7.338,-1.625,4.935
-7.37,-1.538,4.936
-7.386,-1.494,4.937
-7.404,-1.438,4.937
-7.428,-1.362,4.937
-7.458,-1.257,4.937
-7.49,-1.14,4.936
-7.512,-1.046,4.935
-7.532,-0.96,4.935
-7.554,-0.869,4.935
-7.575,-0.777,4.934
-7.593,-0.694,4.934
-7.61,-0.614,4.933
-7.625,-0.536,4.932
-7.635,-0.473,4.932
-7.644,-0.414,4.931
-7.646,-0.376,4.93
-7.646,-0.34,4.929
-7.642,-0.32,4.928
-7.639,-0.304,4.927
-7.636,-0.287,4.926
-7.635,-0.26,4.926
-7.634,-0.237,4.925
-7.633,-0.202,4.925
-7.426,0.085,4.962
-6.776,0.284,5.006
-6.781,0.282,5.006
-6.794,0.276,5.007
-6.833,0.262,5.011
-6.874,0.246,5.013
-6.902,0.241,5.014
-6.929,0.242,5.015
-6.954,0.243,5.016
-6.984,0.244,5.016
-7.012,0.245,5.016
-7.054,0.246,5.016
-7.087,0.24,5.016
-7.102,0.237,5.016
-7.11,0.235,5.016
-7.151,0.226,5.016
-7.185,0.219,5.016
-7.21,0.206,5.016
-7.24,0.186,5.016
-7.267,0.171,5.016
-7.294,0.156,5.016
-7.325,0.146,5.016
-7.357,0.137,5.016
-7.383,0.131,5.016
-7.409,0.125,5.016
-7.436,0.118,5.016
-7.462,0.111,5.015
-7.49,0.103,5.015
-7.519,0.096,5.015
-7.549,0.087,5.014
-7.58,0.078,5.013
-7.594,0.073,5.013
-7.668,0.038,5.011
-7.755,-0.049,5.008
-7.804,-0.178,4.999
-7.77,-0.387,4.98
-7.692,-0.527,4.959
-7.711,-0.61,4.973
-7.698,-0.686,4.975
-7.68,-0.774,4.976
-7.658,-0.875,4.977
-7.635,-0.984,4.978
-7.611,-1.091,4.979
-7.576,-1.222,4.98
-7.534,-1.369,4.98
-7.484,-1.529,4.981
-7.456,-1.616,4.981
-7.425,-1.707,4.981
-7.39,-1.805,4.981
-7.353,-1.91,4.98
-7.31,-2.02,4.98
-7.263,-2.137,4.979
-7.211,-2.264,4.979
-7.149,-2.412,4.978
-7.071,-2.598,4.976
-6.966,-2.849,4.974
-6.905,-2.991,4.973
-6.819,-3.183,4.972
-6.724,-3.385,4.97
-6.627,-3.575,4.967
-6.554,-3.718,4.966
-6.454,-3.891,4.963
-6.32,-4.102,4.959
-6.197,-4.257,4.954
-6.09,-4.385,4.949
-5.951,-4.539,4.94
-5.81,-4.677,4.927
-5.689,-4.743,4.91
-5.537,-4.831,4.888
-5.451,-4.937,4.898
-5.397,-5.019,4.923
-5.361,-5.088,4.947
-5.34,-5.127,4.962
-5.256,-5.244,5.002
-5.198,-5.299,5.021
-5.073,-5.425,5.066
-4.996,-5.506,5.097
-4.88,-5.585,5.123
-4.711,-5.703,5.162
-4.537,-5.821,5.201
-4.45,-5.879,5.22
