absolute_g_mag, bp-rp, mass
      12.2490,      3.77200,     0.107000
      11.9740,      3.63000,     0.120000
      11.5930,      3.49000,     0.140000
      11.2800,      3.36500,     0.160000
      10.6090,      3.03900,     0.218000
      10.3520,      2.92300,     0.246000
      10.1630,      2.83800,     0.270000
      10.0920,      2.80900,     0.279000
      10.0060,      2.77500,     0.291000
      9.94000,      2.74800,     0.300000
      9.85800,      2.71600,     0.313000
      9.63100,      2.63000,     0.350000
      9.47300,      2.57200,     0.378000
      9.35400,      2.53000,     0.400000
      9.08500,      2.43500,     0.450000
      8.94200,      2.38300,     0.477000
      8.82900,      2.34400,     0.500000
      8.76600,      2.31900,     0.513000
      8.56900,      2.24900,     0.548000
      8.55600,      2.24500,     0.550000
      8.44900,      2.20100,     0.569000
      8.24400,      2.13100,     0.600000
      8.12000,      2.08100,     0.619000
      8.00900,      2.04100,     0.636000
      7.88800,      1.99600,     0.650000
      7.82300,      1.97700,     0.658000
      7.51200,      1.86800,     0.693000
      7.39700,      1.75900,     0.700000
      7.10200,      1.55200,     0.717000
      6.81600,      1.40200,     0.734000
      6.59600,      1.29900,     0.747000
      6.54400,      1.27800,     0.750000
      6.35900,      1.22200,     0.767000
      6.09600,      1.14100,     0.791000
      6.00300,      1.11200,     0.800000
      5.80200,      1.05000,     0.820000
      5.71800,      1.02600,     0.829000
      5.57800,     0.983000,     0.850000
      5.34300,     0.906000,     0.894000
      5.32400,     0.900000,     0.900000
      5.26100,     0.878000,     0.920000
      5.15800,     0.850000,     0.950000
      5.09600,     0.834000,     0.970000
      4.97800,     0.809000,      1.00000
      4.88500,     0.791000,      1.02300
      4.75300,     0.766000,      1.05000
      4.51000,     0.722000,      1.10000
      4.40200,     0.702000,      1.12200
      4.27000,     0.678000,      1.15000
      4.03100,     0.634000,      1.20000
      3.80200,     0.592000,      1.25000
      3.73100,     0.577000,      1.26600
      3.59200,     0.552000,      1.30000
      3.40100,     0.515000,      1.35000
      3.22100,     0.477000,      1.40100
      3.05600,     0.435000,      1.45100
      2.89800,     0.388000,      1.50000
      2.75000,     0.336000,      1.55000
      2.60900,     0.286000,      1.60000
      2.47800,     0.237000,      1.65000
      2.35500,     0.191000,      1.70000
      2.24100,     0.149000,      1.74900
      2.13400,     0.111000,      1.79900
      2.03800,    0.0810000,      1.84900
      1.94900,    0.0540000,      1.90000
      1.86400,    0.0300000,      1.95000
      1.78600,   0.00999999,      2.00100
      1.71200,  -0.00600004,      2.05000
      1.64000,   -0.0220000,      2.10000
      1.57300,   -0.0360000,      2.14900
      1.50600,   -0.0480000,      2.19900
      1.44200,   -0.0590000,      2.24900
      1.37900,   -0.0700001,      2.29900
      1.25900,   -0.0880001,      2.40000
      1.22300,   -0.0930001,      2.43100
      1.03300,    -0.117000,      2.60100
     0.824000,    -0.141000,      2.80100
     0.629000,    -0.161000,      3.00100
     0.457000,    -0.178000,      3.19000
     0.448000,    -0.179000,      3.20000
     0.314000,    -0.192000,      3.35500
     0.277000,    -0.195000,      3.39900
     0.130000,    -0.209000,      3.57900
     0.115000,    -0.210000,      3.59900
   -0.0390000,    -0.224000,      3.79900
    -0.187000,    -0.237000,      4.00200
    -0.196000,    -0.238000,      4.01400
    -0.329000,    -0.249000,      4.19900
    -0.455000,    -0.260000,      4.37900
    -0.468000,    -0.260000,      4.39800
    -0.582000,    -0.269000,      4.56600
    -0.604000,    -0.271000,      4.59900
    -0.740000,    -0.281000,      4.79900
    -0.784000,    -0.284000,      4.86700
    -0.874000,    -0.289000,      5.00000
    -0.957000,    -0.296000,      5.12600
     -1.00600,    -0.299000,      5.20100
     -1.12100,    -0.305000,      5.37500
     -1.13900,    -0.307000,      5.40200
     -1.27300,    -0.313000,      5.60200
     -1.30900,    -0.316000,      5.65500
     -1.41100,    -0.319000,      5.80200
     -1.53400,    -0.325000,      5.97600
