absolute_g_mag,bp-rp,mass
9.716,0.534,-1.778
9.684,0.697,-1.762
9.642,0.893,-1.739
9.524,1.179,-1.691
9.289,1.202,-1.636
9.136,1.209,-1.598
8.934,1.277,-1.547
8.814,1.372,-1.514
8.619,1.527,-1.461
8.464,1.579,-1.416
8.327,1.619,-1.374
8.151,1.655,-1.322
7.99,1.653,-1.272
7.861,1.663,-1.232
7.702,1.659,-1.183
7.512,1.658,-1.124
7.485,1.658,-1.116
7.371,1.658,-1.081
7.169,1.655,-1.018
7.14,1.655,-1.009
6.901,1.655,-0.934
6.869,1.655,-0.925
6.643,1.65,-0.854
6.578,1.65,-0.835
6.411,1.645,-0.783
6.322,1.636,-0.755
6.234,1.622,-0.726
6.207,1.617,-0.717
6.127,1.606,-0.691
6.022,1.592,-0.656
6.011,1.59,-0.653
5.982,1.585,-0.643
5.879,1.575,-0.609
5.829,1.57,-0.592
5.807,1.568,-0.585
5.71,1.535,-0.549
5.668,1.496,-0.531
5.526,1.353,-0.479
5.251,1.302,-0.393
5.212,1.3,-0.379
5.125,1.293,-0.347
5.084,1.286,-0.333
5.002,1.275,-0.303
4.975,1.271,-0.293
4.88,1.257,-0.259
4.87,1.255,-0.255
4.764,1.239,-0.217
4.643,1.219,-0.173
4.519,1.198,-0.129
4.401,1.176,-0.085
4.301,1.157,-0.048
4.282,1.153,-0.041
4.19,1.135,-0.006
4.164,1.13,0.003
4.079,1.111,0.035
4.057,1.107,0.044
3.921,1.079,0.095
3.888,1.071,0.108
3.813,1.055,0.137
3.692,1.027,0.184
3.599,1.002,0.221
3.578,0.996,0.229
3.443,0.963,0.282
3.312,0.929,0.335
3.196,0.899,0.382
3.171,0.893,0.392
3.038,0.857,0.447
3.032,0.855,0.449
2.87,0.813,0.515
2.702,0.771,0.586
2.692,0.769,0.59
2.666,0.762,0.601
2.482,0.72,0.677
2.47,0.717,0.683
2.316,0.684,0.748
2.23,0.666,0.784
2.172,0.653,0.808
2.022,0.622,0.872
1.945,0.605,0.904
1.941,0.604,0.906
1.794,0.57,0.969
1.661,0.539,1.027
1.581,0.518,1.062
1.441,0.479,1.124
1.39,0.463,1.147
1.347,0.451,1.167
1.257,0.419,1.209
1.172,0.383,1.252
1.14,0.368,1.269
1.138,0.366,1.27
1.069,0.323,1.31
1.018,0.286,1.342
0.978,0.252,1.371
0.954,0.229,1.391
0.939,0.215,1.402
0.907,0.18,1.432
0.881,0.143,1.46
0.864,0.106,1.487
0.856,0.083,1.503
0.851,0.049,1.529
0.861,0.017,1.552
0.88,-0.004,1.566
0.895,-0.009,1.566
0.905,-0.01,1.564
0.985,-0.022,1.549
1.07,-0.022,1.519
1.129,-0.018,1.493
1.132,-0.018,1.492
1.188,-0.013,1.466
1.237,-0.007,1.441
1.27,-0.004,1.426
1.271,-0.004,1.426
1.276,-0.006,1.427
1.216,-0.027,1.474
1.163,-0.047,1.523
1.139,-0.056,1.547
1.107,-0.071,1.584
1.077,-0.087,1.625
1.058,-0.098,1.657
1.055,-0.106,1.678
1.066,-0.115,1.695
1.114,-0.121,1.694
1.146,-0.121,1.685
1.118,-0.124,1.706
1.094,-0.127,1.726
1.078,-0.129,1.737
0.98,-0.139,1.806
0.815,-0.154,1.92
0.662,-0.166,2.027
0.52,-0.177,2.127
0.387,-0.187,2.22
0.261,-0.195,2.308
0.144,-0.205,2.39
0.032,-0.212,2.469
-0.075,-0.22,2.543
-0.177,-0.226,2.613
-0.235,-0.23,2.653
-0.275,-0.232,2.681
-0.293,-0.233,2.694
-0.368,-0.239,2.745
-0.46,-0.244,2.806
-0.548,-0.249,2.865
-0.624,-0.254,2.917
-0.631,-0.254,2.922
-0.715,-0.259,2.976
-0.795,-0.263,3.029
-0.87,-0.267,3.08
-0.946,-0.272,3.129
-1.158,-0.283,3.266
-1.344,-0.291,3.384
-1.48,-0.298,3.47
-1.492,-0.299,3.477
-1.769,-0.31,3.647
-1.836,-0.312,3.688
-2.033,-0.321,3.805
-2.2,-0.326,3.904
