absolute_g_mag, bp-rp, mass
13.08,3.902,0.101
12.805,3.744,0.112
12.597,3.62,0.12
12.209,3.456,0.14
12.171,3.438,0.142
11.885,3.289,0.16
11.374,3.028,0.2
11.134,2.92,0.223
10.886,2.811,0.25
10.549,2.684,0.292
10.494,2.663,0.3
10.14,2.545,0.35
9.783,2.429,0.4
9.402,2.307,0.45
8.963,2.154,0.5
8.673,2.051,0.525
8.412,1.974,0.55
8.33,1.97,0.557
7.796,1.653,0.6
7.549,1.534,0.623
7.41,1.474,0.645
7.387,1.466,0.65
7.338,1.448,0.661
7.045,1.349,0.7
6.617,1.207,0.747
6.591,1.199,0.75
6.211,1.098,0.8
5.887,1.017,0.847
5.866,1.012,0.85
5.549,0.935,0.9
5.259,0.87,0.95
4.975,0.811,1
4.813,0.778,1.03
4.717,0.759,1.05
4.468,0.712,1.1
4.403,0.699,1.111
4.226,0.667,1.15
4,0.627,1.2
3.785,0.588,1.25
3.582,0.551,1.3
3.392,0.514,1.35
3.213,0.477,1.401
3.045,0.434,1.451
2.886,0.388,1.5
2.736,0.336,1.55
2.594,0.286,1.6
2.473,0.242,1.645
2.46,0.238,1.65
2.336,0.191,1.7
2.221,0.149,1.749
2.13,0.117,1.791
2.113,0.113,1.799
2.015,0.082,1.849
1.922,0.056,1.9
1.834,0.0339999,1.95
1.753,0.015,2.001
1.674,-0.0029999,2.05
1.599,-0.0170001,2.1
1.526,-0.0289999,2.149
1.521,-0.0300001,2.152
1.455,-0.041,2.199
1.385,-0.052,2.249
1.318,-0.062,2.299
1.303,-0.064,2.31
1.187,-0.08,2.4
1.047,-0.097,2.512
0.94,-0.109,2.601
0.717,-0.131,2.793
0.707,-0.133,2.801
0.565,-0.145,2.929
0.487,-0.152,3.001
0.409,-0.159,3.073
0.273,-0.169,3.2
0.198,-0.175,3.272
0.077,-0.184,3.386
0.064,-0.184,3.399
0.017,-0.188,3.445
-0.088,-0.194,3.547
-0.141,-0.198,3.599
-0.264,-0.204,3.718
-0.349,-0.209,3.799
-0.398,-0.212,3.847
-0.532,-0.217,3.972
-0.564,-0.219,4.002
-0.656,-0.222,4.084
-0.773,-0.225,4.184
-0.79,-0.226,4.199
-0.855,-0.227,4.254
-0.955,-0.228,4.334
-1.039,-0.23,4.398
-1.046,-0.229,4.404
-1.189,-0.229,4.509
-1.308,-0.229,4.59
-1.321,-0.228,4.599
-1.426,-0.225,4.664
-1.572,-0.222,4.749
-1.668,-0.217,4.799
-1.712,-0.215,4.823
-1.842,-0.209,4.883
-1.97,-0.2,4.94
-2.091,-0.192,4.987
-2.124,-0.19,5
-2.222,-0.185,5.04
-2.226,-0.184,5.042
-2.23,-0.188,5.049
-2.232,-0.198,5.066
-2.209,-0.21,5.07
-2.185,-0.22,5.073
-2.166,-0.231,5.074
-2.157,-0.239,5.074
-2.151,-0.244,5.075
-2.133,-0.24,5.075
-2.124,-0.232,5.075
-2.141,-0.222,5.075
-2.197,-0.212,5.075
-2.282,-0.2,5.076
-2.38,-0.187,5.076
-2.474,-0.175,5.076
-2.561,-0.162,5.076
-2.639,-0.149,5.076
-2.711,-0.137,5.077
-2.778,-0.123,5.077
-2.841,-0.11,5.077
-2.899,-0.0969999,5.077
-2.954,-0.0839999,5.078
-3.005,-0.0680001,5.078
-3.053,-0.0539999,5.078
-3.098,-0.0380001,5.078
-3.14,-0.02,5.078
-3.177,-0.00100017,5.078
-3.211,0.0190001,5.079
-3.239,0.0440001,5.079
-3.261,0.0709999,5.079
-3.276,0.104,5.079
-3.284,0.141,5.079
-3.286,0.182,5.079
-3.28,0.23,5.08
-3.271,0.283,5.08
-3.258,0.338,5.08
-3.241,0.394,5.08
-3.222,0.451,5.08
-3.199,0.507,5.08
-3.174,0.564,5.08
-3.147,0.621,5.08
-3.117,0.678,5.08
-3.085,0.735,5.08
-3.05,0.792,5.08
-3.012,0.849,5.08
-2.972,0.904,5.08
-2.925,0.957,5.081
-2.869,1.007,5.081
-2.801,1.053,5.081
-2.724,1.095,5.081
-2.638,1.135,5.081
-2.562,1.175,5.081
-2.524,1.204,5.081
-2.533,1.235,5.081
-2.579,1.276,5.081
-2.653,1.312,5.082
-2.723,1.342,5.082
-2.792,1.368,5.082
-2.87,1.395,5.082
-2.892,1.403,5.082
-2.935,1.418,5.082
-2.944,1.422,5.082
-3.025,1.451,5.082
-3.108,1.481,5.083
-3.187,1.51,5.083
-3.272,1.539,5.084
-3.358,1.567,5.084
-3.442,1.595,5.085
-3.515,1.622,5.085
-3.577,1.644,5.086
-3.612,1.657,5.087
-3.595,1.649,5.089
-3.527,1.617,5.096
-3.469,1.592,5.101
-3.407,1.567,5.104
-3.339,1.542,5.108
-3.269,1.518,5.111
-3.201,1.492,5.114
-3.124,1.464,5.118
-3.033,1.43,5.124
-2.961,1.4,5.13
-2.895,1.358,5.141
-2.889,1.328,5.15
-2.964,1.294,5.157
-3.049,1.263,5.163
-3.145,1.23,5.166
-3.219,1.2,5.168
-3.295,1.163,5.17
-3.352,1.126,5.171
-3.4,1.088,5.172
-3.441,1.047,5.173
-3.478,1.007,5.174
-3.514,0.963,5.175
-3.547,0.917,5.176
-3.575,0.872,5.177
-3.603,0.827,5.179
-3.63,0.784,5.182
-3.63,0.807,5.188
-3.643,0.841,5.2
-3.647,0.843,5.201
-3.698,0.868,5.227
-3.711,0.898,5.239
-3.706,0.934,5.246
-3.688,0.988,5.254
-3.666,1.032,5.259
-3.637,1.075,5.263
-3.606,1.114,5.267
-3.567,1.153,5.27
-3.532,1.185,5.273
-3.481,1.221,5.277
-3.42,1.258,5.281
-3.356,1.292,5.284
-3.3,1.325,5.288
-3.236,1.379,5.295
-3.252,1.435,5.301
-3.325,1.477,5.302
-3.348,1.489,5.302
-3.405,1.514,5.302
-3.414,1.515,5.303
-3.446,1.533,5.304
-3.514,1.56,5.304
-3.585,1.589,5.305
-3.656,1.619,5.305
-3.728,1.65,5.306
-3.8,1.683,5.306
-3.869,1.72,5.307
-3.938,1.758,5.308
-4.005,1.797,5.309
-4.072,1.836,5.31
-4.129,1.886,5.31
