absolute_g_mag, bp-rp, mass
-4.186,1.936,5.311
-4.243,1.986,5.312
-4.295,2.047,5.312
-4.338,2.124,5.313
-4.38,2.199,5.313
-4.42,2.272,5.314
-4.461,2.362,5.314
-4.514,2.434,5.314
-4.548,2.546,5.315
-4.575,2.669,5.315
-4.58,2.824,5.315
-4.582,2.982,5.315
-4.576,3.17,5.315
-4.535,3.386,5.316
-4.529,3.42,5.316
-4.555,3.293,5.316
-4.582,3.143,5.316
-4.585,2.982,5.316
-4.586,2.842,5.316
-4.586,2.891,5.316
-4.584,3.035,5.316
-4.573,3.206,5.316
-4.558,3.278,5.316
-4.552,3.31,5.316
-4.331,3.614,5.317
-4.138,4.25,5.317
-4.103,4.361,5.317
-4.145,4.225,5.317
-4.257,3.875,5.317
-4.396,3.291,5.317
