absolute_g_mag, bp-rp, mass
-4.506,2.277,5.553
-4.547,2.362,5.554
-4.59,2.426,5.554
-4.626,2.52,5.554
-4.655,2.641,5.554
-4.666,2.793,5.555
-4.668,2.958,5.555
-4.665,3.16,5.555
-4.622,3.385,5.555
-4.608,3.466,5.555
-4.618,3.416,5.555
-4.638,3.319,5.555
-4.658,3.208,5.556
