Gaia_Source_ID,Name
431160359413311616,2MASS_J00252289+6407557
2425903017474575232,HD_4048
373349657227961472,HD_7590
410846061755266816,HD_8004
4968359485876914816,HD_13289
515529086369122176,HD_13829
122704230645584768,HD_20367
3211461469444773376,HD_32147
2964001014514075520,V*_AK_Lep
2964000159820118400,*_gam_Lep
3345968334645285376,V*_V1386_Ori
3379989457790428416,HD_51419
1108183342844837888,HD_56168
898639447612575104,HD_59747
3057712223051571200,HD_61606
3039102438994497152,HD_64942
3073443760538892032,HD_72659
692554890842416384,HD_75935
717094512905486976,HD_76218
5689497654653956096,HD_81659
722750881753727232,HD_91148
3890713708401628800,HD_91204
723944775287648256,HD_93215
840227926746494208,HD_100310
1576108450508750208,HD_104289
1568610571482444032,V*_DO_CVn
1571411233756165248,HD_110463
1566224665609504128,HD_115043
3939084901399227904,HD_116497
1176209886733406592,HD_128311
1265976524286377856,HD_130948
1237090738916392704,*_ksi_Boo
1697070260165827968,HD_135143
1375324536216744192,V*_AN_CrB
1709456705329541504,HD_150706
1412260533406913152,HD_151044
4339941101147274496,HD_153458
6029350685934613888,HD_153637
1651645517813056384,HD_163183
4609417695876836736,HD_162209
4607099405673166080,HD_167043
2113056534482408448,HD_167389
2051069711047203712,HD_181655
2018474482692959232,HD_184385
2136027771930903808,HD_184960
2028419118720795392,HD_188015
2835052150531041920,HD_216625
2832641058969396864,HD_217813
