Gaia_Source_ID,Name
440153475475258752,HD_19268
445951990562023040,HD_19624
436392286714264576,HD_19805
436422248405849088,HD_19893
442841918844285824,HD_20191
242098652120143104,*_30_Per
442550823139950080,*_29_Per
442501619995081088,*_31_Per
442609131615494784,HD_20510
442921805235699456,HD_20537
441641698824102528,HD_20809
435422586177333120,HD_20863
441463612299313408,HD_21071
441356925312452736,HD_21091
441901698963427328,HD_21117
249197408428902144,HD_21181
441582119038093568,HD_21238
249126524289405184,HD_21279
441416161501150848,HD_21278
441592667477558912,HD_21362
441525562909281920,*_34_Per
242889338420659968,HD_21455
249149029917670016,HD_21551
248960223149560960,HD_21641
249278359973070080,HD_21672
248963242512513792,HD_21699
248192111202669952,HD_22136
249021589646744704,*_psi_Per
248376141961388416,HD_23219
246137776809320960,*_c_Per
434710579380122752,HD_19756
437313711815696896,HD_17412
437914010806274944,HD_17744
453289203453527680,HD_17817
439191437159059968,HD_18280
433169274532974848,HD_19458
435977186716130432,HIP_14697
436786667790598528,BD+49_868
435429011448232064,BD+47_808
435152793514701952,HD_19767
436499557817966976,BD+48_871
436493854100780032,BD+49_897
442576799101946240,HD_20344
436477460205283584,HD_20391
435641079753756544,HD_20475
435609674953487104,HD_20487
441405162083351552,HD_21375
442750831171781888,HD_20842
446638463774954368,HD_20833
441695506170854400,*_alf_Per
441454919285570816,HD_20931
441371528196382464,BD+47_816
243137072134354048,BD+46_745
243096832581342848,HD_21122
248229528957381248,HD_22401
238122233959247488,HD_21490
249222387958844288,HD_21527
441550130122002688,HD_21600
441560399381392768,HD_21619
249267880252995968,BD+48_944
441558445178565120,BD+49_958
248886006119502336,HD_21855
244263590517629056,HD_24260
244633851057090816,HD_22428
249408686459431424,HD_22440
223336998020205312,HD_22859
243197098597337600,HD_23267
244596502021427456,HD_23287
220489572141949568,HD_275907
217205257892100864,HD_24252
178833577690149632,HD_28518
231907244484251648,HD_24898
230646207725202816,HD_25057
250620893728894592,HD_25109
228636025591304448,HD_26321
246254737354427392,BD+48_1057
169982680889282304,HD_281705
270774843082029952,HD_27418
178883468030724480,HD_28927
