Gaia_Source_ID,Name
117672075163287680,HD_21510
61572655452334464,TYC_1246-808-1
61520085052632576,BD+21_470
69335619861034752,HD_21744
61519672735818880,BD+21_474
67799189799869312,HD_22146
64575730944903552,HD_22444
64679840952155264,HD_22578
64313222543810560,HD_22637
68593346433465856,V*_V1225_Tau
65120470237460480,HD_22887
65027595864800000,HD_22977
64317998547641344,BD+21_504
63144716561596288,HD_23028
68310561489710336,HD_23061
65184929107310592,HD_23157
69876712724339456,V*_V1271_Tau
65292234570088064,HD_23246
63378981257953152,HD_23290
65287458566524928,*_16_Tau
64739248940235392,HD_23312
69812945346809600,*_18_Tau
65296907494549120,*_q_Tau
65190048708380160,V*_V811_Tau
63502259702709888,HD_23388
64798691287540224,HD_23402
64956127609464320,HD_23410
65283232318680704,*_20_Tau
66798496781121792,*_21_Tau
71536154945341440,HD_282925
69872044096705664,HD_23430
66786505232432512,*_22_Tau
65205373151673344,*_23_Tau
65231486552803328,HD_23489
65008698009126528,HD_23512
64980278208557696,V*_V1065_Tau
66789872486779520,HD_23568
65212107660378880,V*_V1210_Tau
65017627244152064,HD_23632
66715105696289024,*_24_Tau
64898368889386624,HD_23610
66729880383767168,V*_V1229_Tau
64940906245415808,HD_23753
66725379258016768,HD_23763
64941211186036352,Cl*_Melotte_22_K_78
66503449709270400,V*_V1282_Tau
66526127136550784,*_27_Tau
66526127132766848,*_27_Tau
66529975427235712,*_28_Tau
64114245300877184,HD_23852
66506331628024832,HD_23863
66745617143891968,HD_23873
66555985749157760,HD_23886
66499154741977216,Cl*_Melotte_22_VM_59
64109915973846528,HD_23913
64929391436043264,HD_23924
66453490649681280,HD_23923
64053566003097984,HD_23950
66558249192653952,HD_23948
66507469798631808,HD_23964
65677372878285312,V*_V1211_Tau
66486510358371072,HD_24076
66655560269868544,HD_24302
51452750431129600,BD+20_672
65776736943479808,HD_24899
