Gaia_Source_ID,Name
2753834422041820928,*_34_Psc
326109689896474752,*_gam_Tri
5045853099761604096,HD_18809
16835073505156096,HD_21379
5088895681454956672,HD_23208
162271049925336320,HD_283420
49298394834276608,*_ome02_Tau
4880808810930787200,V*_EX_Eri
998486339048759936,HD_42994
899412537430016896,HD_59507
5730445323098531456,HD_77825
1558718059209082752,HD_119124
1295674883108568704,HD_133725
4290328769993455744,HD_186704
6471630024096107008,*_eta_Ind
6804651141005381888,HD_202116
1851868127125091840,Ross_776
6776341912046962048,HD_202398
2595463996992115840,*_53_Aqr
2630815941525069696,V*_NX_Aqr
2824770686019003904,BD+19_5116A
