Gaia_Source_ID,Name
5209009149172296960,J0836.2-7908
5209082129256747008,GSC9402-921
5208993000095283968,J0838.9-7916
5209038595468151168,Eta_Cha
5209039110864333312,J0841.5-7853
5209019731971781248,J0841.6-7903
5209019835050998784,HD_75505
5209019521517870080,GSC9403-1083
5209037736474704512,J0842.5-7857
5209038423669475712,GSC9403-288
5209024576694905472,J0843.1-7904
5209024611054646272,RS_Cha
5209024366240981632,J0843.3-7905
5209140815689766144,J0844.2-7833
5209025366968905856,J0844.3-7859
5209135352491538432,GSC9403-1279
5209023133585929984,GSC9403-1016
5209118305765620096,GSC9403-0389
