Gaia_Source_ID,Name
5528176449637066240,HD_73550
5524175464262820352,HD_75083
5524211919944869888,HD_75324
5524127566787700224,HD_75657
5329657490638374272,HD_76060
5525174538075403264,HD_73810
5522305023194302208,HD_74319
5524197901171788032,HD_75446
5524589082494764288,HD_75850
5331355759365786368,HD_76566
5331337166449542016,HD_76998
5525076788918392320,HD_73986
5524875372128968448,HD_74370
5524875367833661824,HD_74370b
5524181855171187584,CCDM_J08466-4234AB
5523785992328872832,HD_75549
5331653142902187008,HD_76004
5331791505269378176,HD_76898
5327182249446925056,HD_78186
5327086939831731328,HD_78306
