Gaia_Source_ID,Name
2923075340601746048,HD_46994
2939599866498017408,HD_47942
2918686158904021120,HD_48165
2926368996403857664,HD_48424
5584343695472423296,*_10_CMa
2920021412696887680,HD_48968
2921763898108971008,HD_50261
2932142733818720640,HD_50491
2921987511289034112,HD_50646
2921988297259486080,HD_50680
2933216892265607040,HD_50678
2921973698674341504,*_omi01_CMa
2922367976673391232,HD_50896
2922343920551624448,HD_51013
2925855936793856128,HD_51110
2922717243412685056,HD_51283
2928844856078645760,HD_51790
2922335506719835904,HD_51821
2922733010228878336,HD_51854
5610739808560742272,HD_51925
5603992105699628288,HD_52220
2932018871257017472,HD_52115
5608925957971894272,HD_52356
5607879600858944640,HD_52445
2928815233677227136,HD_52349
2920764201523013120,HD_52597
2921169715156109312,CCDM_J07008-2539AB
2921234311465446272,V*_LS_CMa
5610484034668293376,HD_52731
5610688990507134208,HD_52812
2921708127955063808,HD_52849
2921212870987885952,HD_53344
5610525919190030848,HD_53461
2936195984660163328,HD_53340
5611015854702726016,HD_53673
2921291176832419200,HD_53728
2929365337395000960,HD_53808
5611417412664415744,HD_54063
5611003897513501824,HD_54224
5611037089021849472,*_del_CMa
5611395220573653504,V*_LZ_CMa
5609870502879247104,CD-27_3750
5605882853385364352,V*_HO_CMa
2927919754482160000,HD_55856
5605973597456502272,HD_55985
5606088663915514624,HD_56045
5618032834835824640,HD_56094
5606003627866772736,V*_MS_CMa
5617325161662300672,HD_56694
2929943027673858176,HD_56748
5605177791555145088,HD_56998
5617678822143017088,*_29_CMa
2930048890026865792,HD_57029
5616003376885643008,CD-26_4162
5616426036028826496,HD_57193
5619394064585838976,HD_58346
5619921658373692800,BD-20_1909
5613048679905576832,HD_58563
5612867569727319296,HD_59138
5612805412959055488,HD_59253
5612793318331125760,HD_59281
5612459066796179584,HD_60057
5615379404040602240,HD_60344
5614896958951686016,HD_60834
5614897508707467136,HD_60879
5614891457089541888,HD_60954
5612170651152446976,HD_61026
5614916681442624768,HD_61071
