Gaia_Source_ID,Name
216681447977357568,BD+31_643
216681443680872704,BD+31_643*
216681447977356544,IC_348_12
216681207459195392,Cl*_IC_348_LRL_30
216682444409767936,EM*_LkHA_91
216673884538446720,EM*_LkHA_85
216681757214997504,Cl*_IC_348_TJ_72
216681688495526016,Cl*_IC_348_LRL_38
216681585416313216,Cl*_IC_348_LRL_10
216678385665110912,V*_V914_Per
216680692063125504,Cl*_IC_348_LRL_47
216694195440291328,Cl*_IC_348_LRL_87
216675950419235840,Cl*_IC_348_LRL_72
216705190554952832,Cl*_IC_348_LRL_112
216677359168494080,Cl*_IC_348_LRL_184
216680348465744128,Cl*_IC_348_LRL_174
216682375690295296,Cl*_IC_348_TJ_13
216679626909685888,Cl*_IC_348_LRL_187
216679622615070848,Cl*_IC_348_H_57
216682302674465024,[BNM2013]_32.03_246
216682100812391168,Cl*_IC_348_LRL_358
216681276178672000,V*_V693_Per
216682513129244928,Cl*_IC_348_LRL_93
216682405753899648,Cl*_IC_348_LRL_203
216681271882290560,V*_V694_Per
216680859565397888,[HL2013]_056.07613+32.12569
216682444409768320,Cl*_IC_348_LRL_129
216680795142439936,V*_V904_Per
216682444409767552,Cl*_IC_348_LRL_95
216681688495523712,Cl*_IC_348_LRL_120
216681585416316032,Cl*_IC_348_LRL_237
216677530967199232,V*_V906_Per
216681791574735744,V*_V700_Per
216677977643790848,V*_V703_Per
216678355600911488,Cl*_IC_348_LRL_252
216677908924315776,V*_V911_Per
216678389960646400,Cl*_IC_348_LRL_71
216678389960646912,V*_V913_Per
216681551056567424,Cl*_IC_348_LRL_151
216678080723006464,V*_V917_Per
216678286881434368,Cl*_IC_348_LRL_8024
216678012003529984,V*_V709_Per
216678321241170432,EM*_LkHA_95
216678424320382336,Cl*_IC_348_LRL_108
216678527399594880,V*_V922_Per
216678115082741248,V*_V718_Per
216678046361699584,Cl*_IC_348_LRL_555
216701995100897024,Cl*_IC_348_LRL_145
216702029460632832,Cl*_IC_348_LRL_171
216678389960647552,V*_V706_Per
216681929013704192,Cl*_IC_348_LRL_56
216679626911236352,Cl*_IC_348_LRL_156
216681890357576704,[BNM2013]_32.03_175
216681104379984768,Cl*_IC_348_LRL_163
