Gaia_Source_ID,Name
135935650495744512,HD_19359
139600322751273088,HD_19567
236148335707444864,HD_20987
123999730221048320,BD+30_540
218170461600456576,*_o_Per
216714467685880320,HD_281157
168073310225126656,HD_23597
218003267115059968,HD_23625
216837643052641024,CCDM_J03491+3216AB*
216837647349542272,CCDM_J03491+3216AB
219658611930965376,HD_24012
218804811091303936,HD_24131
218790861034319744,HD_24190
168726523211214592,*_zet_Per
170179867127141760,HD_25539
169431963001150848,V*_V490_Per
170654035816903680,V*_AG_Per
169469793073406848,HD_26499
235682726892652672,HD_19749
432518221914467968,BD+42_684
240111383633759744,HD_18830
142655831205168896,HD_19197
139578229439674496,V*_V571_Per
68021222429667328,HD_22281
235520750789094912,HD_20653
118803129030766464,*_62_Ari
120610004592123520,BD+29_564
119823441461624704,HD_22125
71738430725829760,HD_23427
217328235692110080,HD_278942
119971944251477376,HD_22765
72054093641285760,HD_23244
216174779275661312,HD_23268
168545687908569728,HD_24885
168614854061821568,HD_281305
70547144235386368,HD_24525
168827708342562560,CCDM_J03559+3209AB
168851180342236544,HD_24600
170327339124395136,HD_24913
170052121918461824,HD_281486
170582361402491008,HD_281537
152361426502650496,HD_27482
